,stco,geoid,name,2000,2010
180,34017,3401777930,"Weehawken township, Hudson County, New Jersey",5975,5712
181,34017,3401779610,"West New York town, Hudson County, New Jersey",16719,18852
182,34019,3401900550,"Alexandria township, Hunterdon County, New Jersey",1535,1758
183,34019,3401905650,"Bethlehem township, Hunterdon County, New Jersey",1266,1344
184,34019,3401906370,"Bloomsbury borough, Hunterdon County, New Jersey",322,337
185,34019,3401909280,"Califon borough, Hunterdon County, New Jersey",401,394
186,34019,3401913720,"Clinton town, Hunterdon County, New Jersey",1068,1057
187,34019,3401913750,"Clinton township, Hunterdon County, New Jersey",4129,4568
188,34019,3401917170,"Delaware township, Hunterdon County, New Jersey",1643,1788
189,34019,3401918820,"East Amwell township, Hunterdon County, New Jersey",1581,1518
190,34019,3401923700,"Flemington borough, Hunterdon County, New Jersey",1804,1815
191,34019,3401924870,"Franklin township, Hunterdon County, New Jersey",1091,1137
192,34019,3401925350,"Frenchtown borough, Hunterdon County, New Jersey",613,596
193,34019,3401926550,"Glen Gardner borough, Hunterdon County, New Jersey",805,768
194,34019,3401929460,"Hampton borough, Hunterdon County, New Jersey",559,570
195,34019,3401931320,"High Bridge borough, Hunterdon County, New Jersey",1428,1418
196,34019,3401932460,"Holland township, Hunterdon County, New Jersey",1881,1972
197,34019,3401937065,"Kingwood township, Hunterdon County, New Jersey",1340,1446
198,34019,3401938610,"Lambertville city, Hunterdon County, New Jersey",1860,1958
199,34019,3401939630,"Lebanon borough, Hunterdon County, New Jersey",458,602
200,34019,3401939660,"Lebanon township, Hunterdon County, New Jersey",1963,2296
201,34019,3401946260,"Milford borough, Hunterdon County, New Jersey",469,520
202,34019,3401961920,"Raritan township, Hunterdon County, New Jersey",6939,8056
203,34019,3401962250,"Readington township, Hunterdon County, New Jersey",5676,5971
204,34019,3401970980,"Stockton borough, Hunterdon County, New Jersey",246,237
205,34019,3401972510,"Tewksbury township, Hunterdon County, New Jersey",1986,2189
206,34019,3401974420,"Union township, Hunterdon County, New Jersey",1666,1752
207,34019,3401978230,"West Amwell township, Hunterdon County, New Jersey",949,1102
208,34021,3402119780,"East Windsor township, Mercer County, New Jersey",9448,10224
209,34021,3402122185,"Ewing township, Mercer County, New Jersey",12551,13171
210,34021,3402129310,"Hamilton township, Mercer County, New Jersey",33523,34534
211,34021,3402131620,"Hightstown borough, Mercer County, New Jersey",2001,1976
212,34021,3402133150,"Hopewell borough, Mercer County, New Jersey",813,778
213,34021,3402133180,"Hopewell township, Mercer County, New Jersey",5498,6282
214,34021,3402139510,"Lawrence township, Mercer County, New Jersey",10797,12524
215,34021,3402157600,"Pennington borough, Mercer County, New Jersey",1013,1031
216,34021,3402160900,"Princeton borough, Mercer County, New Jersey",9370,9521
217,34021,3402163850,"Robbinsville township, Mercer County, New Jersey",4074,5087
