,id,stco,name,yr,P_AsianO18,P_BlackO18,P_HispO18,P_NonHispO18,P_O18,P_OtherO18,P_TwoO18,P_WhiteO18,geotype,subreg
80,900565930,09005,"Roxbury town, Litchfield County, Connecticut",2000,30,6,44,3256,3300,18,12,3190,municipality,CT
81,900565930,09005,"Roxbury town, Litchfield County, Connecticut",2010,13,12,31,1795,1826,5,14,1751,municipality,CT
82,900566420,09005,"Salisbury town, Litchfield County, Connecticut",2000,38,98,70,6100,6170,20,32,5912,municipality,CT
83,900566420,09005,"Salisbury town, Litchfield County, Connecticut",2010,29,42,68,3055,3123,1,27,2956,municipality,CT
84,900567960,09005,"Sharon town, Litchfield County, Connecticut",2000,22,38,64,4606,4670,18,26,4502,municipality,CT
85,900567960,09005,"Sharon town, Litchfield County, Connecticut",2010,16,37,44,2288,2332,3,14,2218,municipality,CT
86,900575730,09005,"Thomaston town, Litchfield County, Connecticut",2000,46,54,148,11060,11208,14,46,10900,municipality,CT
87,900575730,09005,"Thomaston town, Litchfield County, Connecticut",2010,43,18,122,5950,6072,18,34,5837,municipality,CT
88,900576570,09005,"Torrington town, Litchfield County, Connecticut",2000,938,946,1344,52838,54182,138,462,50354,municipality,CT
89,900576570,09005,"Torrington town, Litchfield County, Connecticut",2010,560,585,1912,26812,28724,79,302,25286,municipality,CT
90,900579510,09005,"Warren town, Litchfield County, Connecticut",2000,16,4,6,1934,1940,8,14,1892,municipality,CT
91,900579510,09005,"Warren town, Litchfield County, Connecticut",2010,16,5,19,1128,1147,2,2,1103,municipality,CT
92,900579720,09005,"Washington town, Litchfield County, Connecticut",2000,88,20,100,5340,5440,10,60,5162,municipality,CT
93,900579720,09005,"Washington town, Litchfield County, Connecticut",2010,17,13,110,2795,2905,5,15,2745,municipality,CT
94,900580490,09005,"Watertown town, Litchfield County, Connecticut",2000,378,206,480,32104,32584,60,168,31292,municipality,CT
95,900580490,09005,"Watertown town, Litchfield County, Connecticut",2010,281,216,511,17144,17655,46,119,16482,municipality,CT
96,900586440,09005,"Winchester town, Litchfield County, Connecticut",2000,136,108,414,15946,16360,58,168,15476,municipality,CT
97,900586440,09005,"Winchester town, Litchfield County, Connecticut",2010,72,93,374,8570,8944,22,81,8302,municipality,CT
98,900587910,09005,"Woodbury town, Litchfield County, Connecticut",2000,156,68,188,13788,13976,40,34,13490,municipality,CT
99,900587910,09005,"Woodbury town, Litchfield County, Connecticut",2010,135,46,154,7722,7876,21,54,7466,municipality,CT
100,900900000,09009,"County subdivisions not defined, New Haven County, Connecticut",2000,0,0,0,0,0,0,0,0,municipality,CT
101,900900000,09009,"County subdivisions not defined, New Haven County, Connecticut",2010,0,0,0,0,0,0,0,0,municipality,CT
102,900901220,09009,"Ansonia town, New Haven County, Connecticut",2000,312,1898,1646,26484,28130,120,344,23810,municipality,CT
103,900901220,09009,"Ansonia town, New Haven County, Connecticut",2010,266,1369,1963,12707,14670,53,179,10840,municipality,CT
104,900903250,09009,"Beacon Falls town, New Haven County, Connecticut",2000,84,56,150,7694,7844,12,54,7488,municipality,CT
105,900903250,09009,"Beacon Falls town, New Haven County, Connecticut",2010,51,66,187,4485,4672,6,33,4329,municipality,CT
106,900904580,09009,"Bethany town, New Haven County, Connecticut",2000,88,150,126,7202,7328,30,28,6906,municipality,CT
107,900904580,09009,"Bethany town, New Haven County, Connecticut",2010,191,76,90,4124,4214,11,19,3827,municipality,CT
108,900907310,09009,"Branford town, New Haven County, Connecticut",2000,1126,592,1006,44504,45510,74,352,42360,municipality,CT
109,900907310,09009,"Branford town, New Haven County, Connecticut",2010,739,395,782,22282,23064,63,156,20929,municipality,CT
110,900914160,09009,"Cheshire town, New Haven County, Connecticut",2000,1002,2268,1808,40874,42682,126,330,37148,municipality,CT
111,900914160,09009,"Cheshire town, New Haven County, Connecticut",2010,1000,1178,953,21215,22168,39,127,18871,municipality,CT
112,900919550,09009,"Derby town, New Haven County, Connecticut",2000,330,566,1186,18222,19408,36,188,17102,municipality,CT
113,900919550,09009,"Derby town, New Haven County, Connecticut",2010,216,578,1218,8976,10194,50,89,8043,municipality,CT
