,id,stco,name,yr,P_AsianO18,P_BlackO18,P_HispO18,P_NonHispO18,P_O18,P_OtherO18,P_TwoO18,P_WhiteO18,geotype,subreg
1301,3607147999,36071,"Monroe town, Orange County, New York",2010,660,531,2179,20100,22279,56,156,18697,municipality,MHV
1302,3607148153,36071,"Montgomery town, Orange County, New York",2000,210,894,1976,27548,29524,92,262,26090,municipality,MHV
1303,3607148153,36071,"Montgomery town, Orange County, New York",2010,253,944,1957,14840,16797,60,204,13379,municipality,MHV
1304,3607148857,36071,"Mount Hope town, Orange County, New York",2000,170,1880,1708,8836,10544,26,54,6706,municipality,MHV
1305,3607148857,36071,"Mount Hope town, Orange County, New York",2010,94,964,888,4716,5604,44,51,3563,municipality,MHV
1306,3607150034,36071,"Newburgh city, Orange County, New York",2000,300,10978,12636,25124,37760,132,770,12944,municipality,MHV
1307,3607150034,36071,"Newburgh city, Orange County, New York",2010,210,5543,8672,11331,20003,117,311,5150,municipality,MHV
1308,3607150045,36071,"Newburgh town, Orange County, New York",2000,768,2480,3286,37422,40708,102,364,33708,municipality,MHV
1309,3607150045,36071,"Newburgh town, Orange County, New York",2010,636,2393,3115,19928,23043,97,272,16530,municipality,MHV
1310,3607150848,36071,"New Windsor town, Orange County, New York",2000,584,1912,3332,30272,33604,128,360,27288,municipality,MHV
1311,3607150848,36071,"New Windsor town, Orange County, New York",2010,614,1825,3190,15913,19103,62,270,13142,municipality,MHV
1312,3607159388,36071,"Port Jervis city, Orange County, New York",2000,92,446,742,12056,12798,84,120,11314,municipality,MHV
1313,3607159388,36071,"Port Jervis city, Orange County, New York",2010,81,368,625,5971,6596,39,134,5349,municipality,MHV
1314,3607175781,36071,"Tuxedo town, Orange County, New York",2000,150,64,208,5016,5224,18,44,4740,municipality,MHV
1315,3607175781,36071,"Tuxedo town, Orange County, New York",2010,137,50,187,2680,2867,5,22,2466,municipality,MHV
1316,3607177992,36071,"Wallkill town, Orange County, New York",2000,860,2852,4280,32104,36384,106,560,27726,municipality,MHV
1317,3607177992,36071,"Wallkill town, Orange County, New York",2010,632,2829,4045,16832,20877,134,327,12910,municipality,MHV
1318,3607178366,36071,"Warwick town, Orange County, New York",2000,344,1960,2686,42112,44798,164,374,39270,municipality,MHV
1319,3607178366,36071,"Warwick town, Orange County, New York",2010,333,1177,2172,22391,24563,116,225,20540,municipality,MHV
1320,3607178839,36071,"Wawayanda town, Orange County, New York",2000,134,146,442,8400,8842,26,66,8028,municipality,MHV
1321,3607178839,36071,"Wawayanda town, Orange County, New York",2010,103,222,517,4783,5300,12,46,4400,municipality,MHV
1322,3607182755,36071,"Woodbury town, Orange County, New York",2000,326,354,932,12150,13082,34,112,11324,municipality,MHV
1323,3607182755,36071,"Woodbury town, Orange County, New York",2010,458,441,1069,6848,7917,32,104,5813,municipality,MHV
1324,3607912529,36079,"Carmel town, Putnam County, New York",2000,530,488,2668,45350,48018,98,398,43836,municipality,LHV
1325,3607912529,36079,"Carmel town, Putnam County, New York",2010,414,392,2370,23294,25664,48,147,22293,municipality,LHV
1326,3607939331,36079,"Kent town, Putnam County, New York",2000,260,252,1034,19622,20656,54,160,18896,municipality,LHV
1327,3607939331,36079,"Kent town, Putnam County, New York",2010,171,224,1191,9311,10502,35,91,8790,municipality,LHV
1328,3607956748,36079,"Patterson town, Putnam County, New York",2000,240,602,1098,15474,16572,38,174,14420,municipality,LHV
1329,3607956748,36079,"Patterson town, Putnam County, New York",2010,164,391,1105,8159,9264,33,85,7486,municipality,LHV
1330,3607957584,36079,"Philipstown town, Putnam County, New York",2000,154,134,444,13884,14328,36,94,13466,municipality,LHV
1331,3607957584,36079,"Philipstown town, Putnam County, New York",2010,114,112,455,7046,7501,28,77,6715,municipality,LHV
1332,3607960147,36079,"Putnam Valley town, Putnam County, New York",2000,126,234,922,14746,15668,58,118,14210,municipality,LHV
1333,3607960147,36079,"Putnam Valley town, Putnam County, New York",2010,161,171,782,8175,8957,19,107,7717,municipality,LHV
1334,3607968924,36079,"Southeast town, Putnam County, New York",2000,400,452,2066,23434,25500,34,124,22424,municipality,LHV
1335,3607968924,36079,"Southeast town, Putnam County, New York",2010,318,246,2279,11893,14172,27,90,11212,municipality,LHV
1336,3608160323,36081,"Queens borough, Queens County, New York",2000,601134,611348,806212,2634098,3440310,48222,136118,1237276,municipality,NYC
1337,3608160323,36081,"Queens borough, Queens County, New York",2010,407926,305075,459179,1309642,1768821,28521,41029,527091,municipality,NYC
1338,3608570915,36085,"Staten Island borough, Richmond County, New York",2000,37272,51428,69422,591518,660940,2024,9760,491034,municipality,NYC
1339,3608570915,36085,"Staten Island borough, Richmond County, New York",2010,27049,31490,54618,304911,359529,1288,3931,241153,municipality,NYC
1340,3608715968,36087,"Clarkstown town, Rockland County, New York",2000,9116,8394,7834,115702,123536,286,1396,96510,municipality,LHV
1341,3608715968,36087,"Clarkstown town, Rockland County, New York",2010,6616,5675,6704,57779,64483,180,749,44559,municipality,LHV
1342,3608732765,36087,"Haverstraw town, Rockland County, New York",2000,1578,4216,14280,35558,49838,194,666,28904,municipality,LHV
1343,3608732765,36087,"Haverstraw town, Rockland County, New York",2010,1196,3356,10357,17412,27769,83,332,12445,municipality,LHV
1344,3608755211,36087,"Orangetown town, Rockland County, New York",2000,4604,4104,4328,69586,73914,152,984,59742,municipality,LHV
1345,3608755211,36087,"Orangetown town, Rockland County, New York",2010,2704,2312,3546,35039,38585,107,364,29552,municipality,LHV
1346,3608760510,36087,"Ramapo town, Rockland County, New York",2000,7394,24014,12830,131764,144594,748,2908,96700,municipality,LHV
1347,3608760510,36087,"Ramapo town, Rockland County, New York",2010,3950,14214,12278,69494,81772,358,906,50066,municipality,LHV
1348,3608771674,36087,"Stony Point town, Rockland County, New York",2000,274,234,1256,19796,21052,52,122,19114,municipality,LHV
1349,3608771674,36087,"Stony Point town, Rockland County, New York",2010,299,350,1250,10248,11498,20,96,9483,municipality,LHV
1350,3601594,36103,"Amagansett CDP, New York",2000,4,11,32,831,863,6,4,806,municipality,LI
1351,3601594,36103,"Amagansett CDP, New York",2010,15,12,99,864,963,0,3,834,municipality,LI
1352,3602044,36103,"Amityville village, New York",2000,91,513,558,6817,7375,17,80,6116,municipality,LI
1353,3602044,36103,"Amityville village, New York",2010,141,610,877,6963,7840,17,60,6135,municipality,LI
1354,3602374,36103,"Aquebogue CDP, New York",2000,6,88,43,1684,1727,2,12,1576,municipality,LI
1355,3602374,36103,"Aquebogue CDP, New York",2010,4,79,201,1772,1973,1,7,1681,municipality,LI
1356,3602737,36103,"Asharoken village, New York",2000,15,1,6,506,512,1,0,489,municipality,LI
1357,3602737,36103,"Asharoken village, New York",2010,10,0,13,519,532,0,2,507,municipality,LI
1358,3603408,36103,"Babylon village, New York",2000,130,235,435,8942,9377,20,132,8425,municipality,LI
1359,3603408,36103,"Babylon village, New York",2010,214,175,592,8800,9392,20,86,8305,municipality,LI
1360,3604055,36103,"Baiting Hollow CDP, New York",2000,7,14,47,1128,1175,0,1,1106,municipality,LI
1361,3604055,36103,"Baiting Hollow CDP, New York",2010,10,12,71,1316,1387,2,3,1289,municipality,LI
1362,3604913,36103,"Bayport CDP, New York",2000,77,49,208,6236,6444,6,44,6060,municipality,LI
1363,3604913,36103,"Bayport CDP, New York",2010,117,87,295,6384,6679,7,38,6135,municipality,LI
1364,3604935,36103,"Bay Shore CDP, New York",2000,415,2600,3156,14526,17682,93,330,11088,municipality,LI
1365,3604935,36103,"Bay Shore CDP, New York",2010,640,3199,5532,14339,19871,106,312,10082,municipality,LI
1366,3605039,36103,"Baywood CDP, New York",2000,92,425,1152,4359,5511,19,104,3719,municipality,LI
1367,3605039,36103,"Baywood CDP, New York",2010,213,701,1744,3829,5573,39,71,2805,municipality,LI
1368,3605672,36103,"Belle Terre village, New York",2000,32,6,12,614,626,2,8,566,municipality,LI
1369,3605672,36103,"Belle Terre village, New York",2010,24,7,20,576,596,0,4,541,municipality,LI
1370,3605771,36103,"Bellport village, New York",2000,31,23,34,1887,1921,8,14,1811,municipality,LI
1371,3605771,36103,"Bellport village, New York",2010,19,24,56,1669,1725,7,22,1597,municipality,LI
1372,3607069,36103,"Blue Point CDP, New York",2000,29,13,116,3112,3228,5,7,3058,municipality,LI
1373,3607069,36103,"Blue Point CDP, New York",2010,53,25,123,3485,3608,17,12,3378,municipality,LI
1374,3607157,36103,"Bohemia CDP, New York",2000,178,68,312,7266,7578,11,43,6966,municipality,LI
1375,3607157,36103,"Bohemia CDP, New York",2010,174,75,470,7472,7942,8,37,7178,municipality,LI
1376,3608026,36103,"Brentwood CDP, New York",2000,777,5504,19673,18132,37805,216,715,10920,municipality,LI
1377,3608026,36103,"Brentwood CDP, New York",2010,876,6113,29149,14973,44122,193,460,7331,municipality,LI
1378,3608136,36103,"Bridgehampton CDP, New York",2000,9,167,35,1102,1137,9,9,908,municipality,LI
1379,3608136,36103,"Bridgehampton CDP, New York",2010,19,194,194,1246,1440,8,9,1016,municipality,LI
1380,3608323,36103,"Brightwaters village, New York",2000,31,28,70,2290,2360,3,11,2217,municipality,LI
1381,3608323,36103,"Brightwaters village, New York",2010,33,28,106,2195,2301,2,18,2114,municipality,LI
1382,3609000,36103,"Brookhaven CDP, New York",2000,12,188,147,2522,2669,10,31,2281,municipality,LI
1383,3609000,36103,"Brookhaven CDP, New York",2010,18,135,149,2616,2765,7,13,2443,municipality,LI
1384,3611781,36103,"Calverton CDP, New York",2000,39,252,232,4316,4548,17,37,3971,municipality,LI
1385,3611781,36103,"Calverton CDP, New York",2010,46,334,316,5028,5344,11,31,4606,municipality,LI
1386,3613376,36103,"Centereach CDP, New York",2000,615,377,1302,18601,19903,41,149,17419,municipality,LI
1387,3613376,36103,"Centereach CDP, New York",2010,1430,587,2388,21498,23886,40,219,19222,municipality,LI
1388,3613420,36103,"Center Moriches CDP, New York",2000,47,249,307,4676,4983,6,35,4339,municipality,LI
1389,3613420,36103,"Center Moriches CDP, New York",2010,79,197,525,5154,5679,9,48,4821,municipality,LI
1390,3613442,36103,"Centerport CDP, New York",2000,47,10,78,4006,4084,5,4,3940,municipality,LI
1391,3613442,36103,"Centerport CDP, New York",2010,73,18,132,3923,4055,2,16,3814,municipality,LI
1392,3613552,36103,"Central Islip CDP, New York",2000,730,5496,7652,14969,22621,171,491,8081,municipality,LI
1393,3613552,36103,"Central Islip CDP, New York",2010,860,5664,12255,13028,25283,176,413,5915,municipality,LI
1394,3616958,36103,"Cold Spring Harbor CDP, New York",2000,49,19,67,3582,3649,4,26,3484,municipality,LI
1395,3616958,36103,"Cold Spring Harbor CDP, New York",2010,92,22,112,3586,3698,2,18,3452,municipality,LI
1396,3617530,36103,"Commack CDP, New York",2000,972,143,732,26054,26786,35,99,24805,municipality,LI
1397,3617530,36103,"Commack CDP, New York",2010,1427,211,1143,25598,26741,49,166,23745,municipality,LI
1398,3618146,36103,"Copiague CDP, New York",2000,269,560,3057,13767,16824,59,198,12681,municipality,LI
1399,3618146,36103,"Copiague CDP, New York",2010,369,1028,5267,12844,18111,74,155,11218,municipality,LI
1400,3618157,36103,"Coram CDP, New York",2000,860,1942,2157,24013,26170,92,325,20794,municipality,LI
1401,3618157,36103,"Coram CDP, New York",2010,1476,2786,3617,26752,30369,120,388,21982,municipality,LI
1402,3619466,36103,"Cutchogue CDP, New York",2000,12,49,130,2107,2237,1,14,2031,municipality,LI
1403,3619466,36103,"Cutchogue CDP, New York",2010,17,40,176,2519,2695,3,9,2450,municipality,LI
1404,3619972,36103,"Deer Park CDP, New York",2000,574,1687,1461,19718,21179,63,282,17112,municipality,LI
1405,3619972,36103,"Deer Park CDP, New York",2010,1371,2257,2268,19051,21319,68,253,15102,municipality,LI
1406,3620379,36103,"Dering Harbor village, New York",2000,0,0,0,11,11,1,0,10,municipality,LI
1407,3620379,36103,"Dering Harbor village, New York",2010,0,0,0,11,11,0,0,11,municipality,LI
1408,3620687,36103,"Dix Hills CDP, New York",2000,1347,537,680,17939,18619,34,267,15754,municipality,LI
1409,3620687,36103,"Dix Hills CDP, New York",2010,2186,952,993,18527,19520,66,250,15073,municipality,LI
1410,3621985,36103,"East Farmingdale CDP, New York",2000,166,503,488,3509,3997,11,66,2763,municipality,LI
1411,3621985,36103,"East Farmingdale CDP, New York",2010,236,626,983,4069,5052,32,58,3117,municipality,LI
1412,3622183,36103,"East Hampton village, New York",2000,19,16,95,1047,1142,4,13,995,municipality,LI
1413,3622183,36103,"East Hampton village, New York",2010,10,8,97,833,930,0,3,812,municipality,LI
1414,3622200,36103,"East Hampton North CDP, New York",2000,40,198,450,2337,2787,16,38,2045,municipality,LI
1415,3622200,36103,"East Hampton North CDP, New York",2010,36,203,1150,2102,3252,16,35,1812,municipality,LI
1416,3622315,36103,"East Islip CDP, New York",2000,140,53,351,9715,10066,26,54,9442,municipality,LI
1417,3622315,36103,"East Islip CDP, New York",2010,164,102,569,10246,10815,17,66,9897,municipality,LI
1418,3622447,36103,"East Marion CDP, New York",2000,4,5,19,597,616,5,2,581,municipality,LI
1419,3622447,36103,"East Marion CDP, New York",2010,7,6,44,746,790,0,8,725,municipality,LI
1420,3622546,36103,"East Moriches CDP, New York",2000,57,54,141,3207,3348,5,21,3070,municipality,LI
1421,3622546,36103,"East Moriches CDP, New York",2010,33,59,221,3809,4030,6,33,3678,municipality,LI
1422,3622612,36103,"East Northport CDP, New York",2000,338,142,555,14972,15527,26,101,14365,municipality,LI
1423,3622612,36103,"East Northport CDP, New York",2010,449,121,924,14147,15071,23,93,13461,municipality,LI
1424,3622733,36103,"East Patchogue CDP, New York",2000,315,453,1354,14654,16008,39,148,13699,municipality,LI
1425,3622733,36103,"East Patchogue CDP, New York",2010,407,701,2736,15041,17777,58,170,13705,municipality,LI
1426,3622810,36103,"Eastport CDP, New York",2000,12,8,105,1001,1106,2,6,973,municipality,LI
1427,3622810,36103,"Eastport CDP, New York",2010,10,17,111,1327,1438,0,7,1293,municipality,LI
1428,3622832,36103,"East Quogue CDP, New York",2000,22,22,156,3076,3232,6,21,3005,municipality,LI
1429,3622832,36103,"East Quogue CDP, New York",2010,46,41,288,3309,3597,13,15,3194,municipality,LI
1430,3622980,36103,"East Shoreham CDP, New York",2000,63,44,171,3902,4073,3,18,3774,municipality,LI
1431,3622980,36103,"East Shoreham CDP, New York",2010,112,62,233,4569,4802,8,13,4374,municipality,LI
1432,3623316,36103,"Eatons Neck CDP, New York",2000,8,3,9,1044,1053,0,2,1031,municipality,LI
1433,3623316,36103,"Eatons Neck CDP, New York",2010,10,2,23,1047,1070,0,5,1030,municipality,LI
1434,3624405,36103,"Elwood CDP, New York",2000,438,372,372,7700,8072,32,57,6801,municipality,LI
1435,3624405,36103,"Elwood CDP, New York",2010,661,501,592,7587,8179,24,60,6341,municipality,LI
1436,3625417,36103,"Farmingville CDP, New York",2000,206,121,943,10853,11796,22,109,10395,municipality,LI
1437,3625417,36103,"Farmingville CDP, New York",2010,427,238,1279,10352,11631,44,116,9527,municipality,LI
1438,3625839,36103,"Fire Island CDP, New York",2000,2,0,6,240,246,1,3,234,municipality,LI
1439,3625839,36103,"Fire Island CDP, New York",2010,1,10,14,225,239,0,1,213,municipality,LI
1440,3625923,36103,"Fishers Island CDP, New York",2000,1,3,4,222,226,0,3,215,municipality,LI
1441,3625923,36103,"Fishers Island CDP, New York",2010,2,2,2,194,196,1,3,186,municipality,LI
1442,3626121,36103,"Flanders CDP, New York",2000,19,450,322,2311,2633,35,27,1780,municipality,LI
1443,3626121,36103,"Flanders CDP, New York",2010,36,423,1162,2158,3320,31,46,1622,municipality,LI
1444,3626946,36103,"Fort Salonga CDP, New York",2000,127,44,140,6999,7139,2,21,6805,municipality,LI
1445,3626946,36103,"Fort Salonga CDP, New York",2010,174,77,242,7123,7365,17,29,6826,municipality,LI
1446,3628997,36103,"Gilgo-Oak Beach-Captree CDP, New York",2000,8,1,5,283,288,0,0,274,municipality,LI
1447,3628997,36103,"Gilgo-Oak Beach-Captree CDP, New York",2010,3,1,13,333,346,0,1,328,municipality,LI
1448,3629509,36103,"Gordon Heights CDP, New York",2000,39,1125,258,1746,2004,18,62,502,municipality,LI
1449,3629509,36103,"Gordon Heights CDP, New York",2010,63,1387,657,2210,2867,41,73,646,municipality,LI
1450,3630235,36103,"Great River CDP, New York",2000,8,0,20,1078,1098,3,9,1058,municipality,LI
1451,3630235,36103,"Great River CDP, New York",2010,18,6,37,1094,1131,0,3,1067,municipality,LI
1452,3630543,36103,"Greenlawn CDP, New York",2000,259,1392,624,9206,9830,42,102,7411,municipality,LI
1453,3630543,36103,"Greenlawn CDP, New York",2010,416,1392,1154,9066,10220,36,114,7108,municipality,LI
1454,3630576,36103,"Greenport village, New York",2000,4,184,243,1329,1572,3,31,1107,municipality,LI
1455,3630576,36103,"Greenport village, New York",2010,10,178,563,1228,1791,9,12,1019,municipality,LI
1456,3630581,36103,"Greenport West CDP, New York",2000,6,60,65,1288,1353,4,12,1206,municipality,LI
1457,3630581,36103,"Greenport West CDP, New York",2010,12,81,227,1587,1814,8,12,1474,municipality,LI
1458,3631445,36103,"Halesite CDP, New York",2000,17,29,60,1974,2034,3,16,1909,municipality,LI
1459,3631445,36103,"Halesite CDP, New York",2010,29,11,84,1910,1994,4,8,1858,municipality,LI
1460,3631896,36103,"Hampton Bays CDP, New York",2000,60,65,1088,8608,9696,27,59,8397,municipality,LI
1461,3631896,36103,"Hampton Bays CDP, New York",2010,76,124,2748,7918,10666,42,47,7629,municipality,LI
1462,3632732,36103,"Hauppauge CDP, New York",2000,531,162,599,14669,15268,26,116,13834,municipality,LI
1463,3632732,36103,"Hauppauge CDP, New York",2010,864,296,992,14929,15921,35,104,13630,municipality,LI
1464,3632963,36103,"Head of the Harbor village, New York",2000,28,10,17,1039,1056,0,5,996,municipality,LI
1465,3632963,36103,"Head of the Harbor village, New York",2010,32,9,29,1068,1097,2,6,1019,municipality,LI
1466,3635056,36103,"Holbrook CDP, New York",2000,581,257,1108,19329,20437,34,128,18329,municipality,LI
1467,3635056,36103,"Holbrook CDP, New York",2010,800,306,1587,19364,20951,48,119,18091,municipality,LI
1468,3635254,36103,"Holtsville CDP, New York",2000,204,116,779,11426,12205,21,90,10995,municipality,LI
1469,3635254,36103,"Holtsville CDP, New York",2010,608,220,1369,13504,14873,35,93,12548,municipality,LI
1470,3636233,36103,"Huntington CDP, New York",2000,265,277,481,13662,14143,19,91,13010,municipality,LI
1471,3636233,36103,"Huntington CDP, New York",2010,305,298,625,13471,14096,31,96,12741,municipality,LI
1472,3637022,36103,"Huntington Bay village, New York",2000,10,1,11,1130,1141,0,4,1115,municipality,LI
1473,3637022,36103,"Huntington Bay village, New York",2010,22,6,30,1090,1120,0,7,1055,municipality,LI
1474,3637044,36103,"Huntington Station CDP, New York",2000,699,2186,4698,17508,22206,83,321,14219,municipality,LI
1475,3637044,36103,"Huntington Station CDP, New York",2010,880,2380,8444,16424,24868,80,290,12794,municipality,LI
1476,3637840,36103,"Islandia village, New York",2000,136,224,410,1893,2303,2,44,1487,municipality,LI
1477,3637840,36103,"Islandia village, New York",2010,157,310,685,1987,2672,7,35,1478,municipality,LI
1478,3637869,36103,"Islip CDP, New York",2000,295,613,1456,13479,14935,27,148,12396,municipality,LI
1479,3637869,36103,"Islip CDP, New York",2010,345,568,1776,12412,14188,43,119,11337,municipality,LI
1480,3638022,36103,"Islip Terrace CDP, New York",2000,60,18,229,3747,3976,1,11,3657,municipality,LI
1481,3638022,36103,"Islip Terrace CDP, New York",2010,91,70,298,3717,4015,6,33,3517,municipality,LI
1482,3638253,36103,"Jamesport CDP, New York",2000,4,7,84,1127,1211,0,5,1111,municipality,LI
1483,3638253,36103,"Jamesport CDP, New York",2010,7,14,102,1325,1427,0,6,1298,municipality,LI
1484,3639672,36103,"Kings Park CDP, New York",2000,237,108,374,11697,12071,22,85,11245,municipality,LI
1485,3639672,36103,"Kings Park CDP, New York",2010,321,156,632,12617,13249,22,94,12024,municipality,LI
1486,3640530,36103,"Lake Grove village, New York",2000,377,88,330,7224,7554,18,58,6683,municipality,LI
1487,3640530,36103,"Lake Grove village, New York",2010,585,139,586,7871,8457,24,60,7063,municipality,LI
1488,3640838,36103,"Lake Ronkonkoma CDP, New York",2000,353,184,809,14033,14842,39,100,13357,municipality,LI
1489,3640838,36103,"Lake Ronkonkoma CDP, New York",2010,644,293,1333,14030,15363,38,130,12925,municipality,LI
1490,3641465,36103,"Laurel CDP, New York",2000,0,13,17,895,912,2,6,874,municipality,LI
1491,3641465,36103,"Laurel CDP, New York",2010,3,16,82,985,1067,0,9,957,municipality,LI
1492,3642554,36103,"Lindenhurst village, New York",2000,267,159,1236,19151,20387,41,235,18449,municipality,LI
1493,3642554,36103,"Lindenhurst village, New York",2010,401,259,1755,19362,21117,49,155,18498,municipality,LI
1494,3643005,36103,"Lloyd Harbor village, New York",2000,43,16,47,2477,2524,3,8,2407,municipality,LI
1495,3643005,36103,"Lloyd Harbor village, New York",2010,67,24,69,2508,2577,4,12,2401,municipality,LI
1496,3645139,36103,"Manorville CDP, New York",2000,46,91,273,7790,8063,25,38,7590,municipality,LI
1497,3645139,36103,"Manorville CDP, New York",2010,186,165,572,9792,10364,33,59,9349,municipality,LI
1498,3646074,36103,"Mastic CDP, New York",2000,108,505,1085,9305,10390,175,127,8390,municipality,LI
1499,3646074,36103,"Mastic CDP, New York",2010,232,782,2158,8948,11106,51,164,7719,municipality,LI
1500,3646085,36103,"Mastic Beach CDP, New York",2000,73,278,698,7175,7873,36,111,6677,municipality,LI
1501,3646085,36103,"Mastic Beach CDP, New York",2010,127,692,1214,8126,9340,51,113,7143,municipality,LI
1502,3646140,36103,"Mattituck CDP, New York",2000,15,35,73,3149,3222,6,16,3077,municipality,LI
1503,3646140,36103,"Mattituck CDP, New York",2010,27,43,208,3148,3356,6,23,3049,municipality,LI
1504,3646404,36103,"Medford CDP, New York",2000,227,507,1583,14313,15896,48,146,13385,municipality,LI
1505,3646404,36103,"Medford CDP, New York",2010,450,980,2929,15492,18421,85,175,13802,municipality,LI
1506,3646514,36103,"Melville CDP, New York",2000,560,203,369,10454,10823,19,107,9565,municipality,LI
1507,3646514,36103,"Melville CDP, New York",2010,998,432,659,13884,14543,48,140,12266,municipality,LI
1508,3646976,36103,"Middle Island CDP, New York",2000,173,461,452,7065,7517,31,112,6288,municipality,LI
1509,3646976,36103,"Middle Island CDP, New York",2010,280,558,642,7738,8380,44,92,6764,municipality,LI
1510,3647306,36103,"Miller Place CDP, New York",2000,86,34,232,7150,7382,16,41,6973,municipality,LI
1511,3647306,36103,"Miller Place CDP, New York",2010,249,136,402,8522,8924,26,54,8057,municipality,LI
1512,3648054,36103,"Montauk CDP, New York",2000,26,21,726,2355,3081,8,19,2281,municipality,LI
1513,3648054,36103,"Montauk CDP, New York",2010,23,63,419,2345,2764,8,20,2231,municipality,LI
1514,3648450,36103,"Moriches CDP, New York",2000,41,26,80,1972,2052,2,17,1886,municipality,LI
1515,3648450,36103,"Moriches CDP, New York",2010,63,58,186,2210,2396,8,10,2071,municipality,LI
1516,3649066,36103,"Mount Sinai CDP, New York",2000,86,67,239,5871,6110,8,40,5670,municipality,LI
1517,3649066,36103,"Mount Sinai CDP, New York",2010,334,100,454,8512,8966,14,53,8011,municipality,LI
1518,3649424,36103,"Napeague CDP, New York",2000,0,1,10,179,189,1,1,176,municipality,LI
1519,3649424,36103,"Napeague CDP, New York",2010,3,1,5,166,171,1,0,161,municipality,LI
1520,3649825,36103,"Nesconset CDP, New York",2000,270,84,285,8630,8915,15,44,8217,municipality,LI
1521,3649825,36103,"Nesconset CDP, New York",2010,455,119,530,9411,9941,16,48,8773,municipality,LI
1522,3650727,36103,"New Suffolk CDP, New York",2000,1,4,10,284,294,5,1,273,municipality,LI
1523,3650727,36103,"New Suffolk CDP, New York",2010,0,1,18,292,310,0,0,291,municipality,LI
1524,3651286,36103,"Nissequogue village, New York",2000,12,1,24,1124,1148,0,11,1100,municipality,LI
1525,3651286,36103,"Nissequogue village, New York",2010,39,6,35,1240,1275,1,12,1182,municipality,LI
1526,3651396,36103,"North Amityville CDP, New York",2000,141,7461,1431,10201,11632,152,409,2038,municipality,LI
1527,3651396,36103,"North Amityville CDP, New York",2010,136,7309,3440,9596,13036,151,265,1735,municipality,LI
1528,3651418,36103,"Northampton CDP, New York",2000,4,130,25,306,331,2,13,157,municipality,LI
1529,3651418,36103,"Northampton CDP, New York",2010,2,123,90,371,461,1,7,238,municipality,LI
1530,3651440,36103,"North Babylon CDP, New York",2000,287,244,885,12783,13668,32,114,12106,municipality,LI
1531,3651440,36103,"North Babylon CDP, New York",2010,512,686,1488,12183,13671,29,107,10849,municipality,LI
1532,3651495,36103,"North Bay Shore CDP, New York",2000,216,1735,5175,5359,10534,57,279,3072,municipality,LI
1533,3651495,36103,"North Bay Shore CDP, New York",2010,502,2126,8747,5058,13805,77,196,2157,municipality,LI
1534,3651528,36103,"North Bellport CDP, New York",2000,114,1560,1166,4819,5985,79,125,2941,municipality,LI
1535,3651528,36103,"North Bellport CDP, New York",2010,215,1846,2151,5929,8080,103,201,3564,municipality,LI
1536,3652078,36103,"North Great River CDP, New York",2000,32,38,166,2668,2834,4,21,2573,municipality,LI
1537,3652078,36103,"North Great River CDP, New York",2010,56,78,332,2745,3077,5,14,2592,municipality,LI
1538,3652188,36103,"North Haven village, New York",2000,4,3,11,603,614,0,0,596,municipality,LI
1539,3652188,36103,"North Haven village, New York",2010,10,1,18,615,633,0,1,603,municipality,LI
1540,3653198,36103,"North Lindenhurst CDP, New York",2000,178,283,916,7842,8758,19,89,7273,municipality,LI
1541,3653198,36103,"North Lindenhurst CDP, New York",2010,264,406,1514,7374,8888,32,78,6594,municipality,LI
1542,3653319,36103,"North Patchogue CDP, New York",2000,62,61,450,5303,5753,8,55,5117,municipality,LI
1543,3653319,36103,"North Patchogue CDP, New York",2010,97,110,999,4480,5479,10,35,4228,municipality,LI
1544,3653396,36103,"Northport village, New York",2000,62,34,114,5652,5766,7,22,5527,municipality,LI
1545,3653396,36103,"Northport village, New York",2010,87,33,172,5486,5658,8,24,5334,municipality,LI
1546,3653561,36103,"North Sea CDP, New York",2000,38,46,176,3396,3572,14,15,3283,municipality,LI
1547,3653561,36103,"North Sea CDP, New York",2010,58,34,541,3032,3573,10,32,2898,municipality,LI
1548,3653775,36103,"Northville CDP, New York",2000,2,24,33,589,622,1,5,557,municipality,LI
1549,3653775,36103,"Northville CDP, New York",2010,6,13,64,1038,1102,2,9,1008,municipality,LI
1550,3653852,36103,"Northwest Harbor CDP, New York",2000,27,79,189,2098,2287,20,34,1938,municipality,LI
1551,3653852,36103,"Northwest Harbor CDP, New York",2010,44,61,434,2215,2649,5,13,2092,municipality,LI
1552,3654056,36103,"Noyack CDP, New York",2000,15,20,76,2045,2121,10,10,1990,municipality,LI
1553,3654056,36103,"Noyack CDP, New York",2010,41,31,229,2591,2820,9,11,2499,municipality,LI
1554,3654144,36103,"Oakdale CDP, New York",2000,40,109,177,6108,6285,5,20,5934,municipality,LI
1555,3654144,36103,"Oakdale CDP, New York",2010,77,71,237,6124,6361,7,13,5956,municipality,LI
1556,3654430,36103,"Ocean Beach village, New York",2000,1,0,1,107,108,0,0,106,municipality,LI
1557,3654430,36103,"Ocean Beach village, New York",2010,0,0,1,70,71,0,0,70,municipality,LI
1558,3654617,36103,"Old Field village, New York",2000,29,5,14,649,663,1,3,611,municipality,LI
1559,3654617,36103,"Old Field village, New York",2010,43,5,18,695,713,7,6,634,municipality,LI
1560,3655321,36103,"Orient CDP, New York",2000,3,2,5,576,581,2,1,568,municipality,LI
1561,3655321,36103,"Orient CDP, New York",2010,4,7,11,622,633,2,2,607,municipality,LI
