,COUNTY,P_AsianO18,P_BlackO18,P_HispO18,P_NonHispO18,P_O18,P_OtherO18,P_TwoO18,P_WhiteO18,STATE,SUMLEV,id,name
24049,000,2100,725,3597,21070,24667,115,568,17562,36,160,3613376,Centereach CDP
24050,000,92,187,747,5502,6249,26,148,5049,36,160,3613420,Center Moriches CDP
24051,000,84,19,222,4455,4677,29,97,4226,36,160,3613442,Centerport CDP
24053,000,905,5618,15531,12304,27835,322,602,4857,36,160,3613552,Central Islip CDP
24055,000,12,2,19,315,334,0,2,299,36,160,3613618,Centre Island village
24093,000,90,10,129,2157,2286,5,51,2001,36,160,3616958,Cold Spring Harbor CDP
24096,000,1892,424,1921,26877,28798,140,455,23966,36,160,3617530,Commack CDP
24108,000,445,1413,6975,11816,18791,143,345,9470,36,160,3618146,Copiague CDP
24109,000,1841,3672,5277,27229,32506,213,868,20635,36,160,3618157,Coram CDP
24117,000,0,0,13,205,218,0,5,200,36,160,3618597,Cove Neck village
24131,000,23,36,302,2608,2910,3,35,2511,36,160,3619466,Cutchogue CDP
24138,000,2510,2943,3628,19198,22826,247,477,13021,36,160,3619972,Deer Park CDP
24147,000,4,0,14,25,39,1,1,19,36,160,3620379,Dering Harbor village
24151,000,3365,1055,1515,18831,20346,176,444,13791,36,160,3620687,Dix Hills CDP
24165,000,18,6,113,1730,1843,9,18,1679,36,160,3621578,East Atlantic Beach CDP
24170,000,403,650,1221,4155,5376,48,111,2943,36,160,3621985,East Farmingdale CDP
24174,000,17,24,123,1170,1293,5,21,1103,36,160,3622183,East Hampton village
24175,000,62,184,1741,2476,4217,32,70,2128,36,160,3622200,East Hampton North CDP
24177,000,626,63,205,5069,5274,19,92,4269,36,160,3622260,East Hills village
24178,000,221,152,971,10110,11081,53,227,9457,36,160,3622315,East Islip CDP
24181,000,11,11,85,842,927,8,22,790,36,160,3622447,East Marion CDP
24182,000,432,1918,2039,14027,16066,108,348,11221,36,160,3622480,East Massapequa CDP
24183,000,5009,1317,4352,26090,30442,257,554,18953,36,160,3622502,East Meadow CDP
24184,000,68,88,375,4338,4713,27,74,4081,36,160,3622546,East Moriches CDP
24186,000,489,161,1469,14476,15945,59,276,13491,36,160,3622612,East Northport CDP
24187,000,90,20,136,2069,2205,8,35,1916,36,160,3622623,East Norwich CDP
24188,000,441,797,3526,14049,17575,94,416,12301,36,160,3622733,East Patchogue CDP
24189,000,12,22,220,1673,1893,12,41,1586,36,160,3622810,Eastport CDP
24190,000,62,28,715,3705,4420,19,67,3529,36,160,3622832,East Quogue CDP
24193,000,258,233,1033,7124,8157,24,163,6446,36,160,3622876,East Rockaway village
24194,000,962,93,553,8146,8699,50,148,6893,36,160,3622964,East Setauket CDP
24195,000,149,100,420,4887,5307,24,134,4480,36,160,3622980,East Shoreham CDP
24197,000,224,0,79,1879,1958,0,40,1615,36,160,3623217,East Williston village
24199,000,22,5,39,1071,1110,5,13,1026,36,160,3623316,Eatons Neck CDP
24214,000,4184,12422,6064,22127,28191,666,985,3870,36,160,3624273,Elmont CDP
24216,000,771,443,925,8190,9115,32,193,6751,36,160,3624405,Elwood CDP
24230,000,524,223,966,6230,7196,61,136,5286,36,160,3625384,Farmingdale village
24231,000,532,382,1837,9955,11792,87,313,8641,36,160,3625417,Farmingville CDP
24236,000,11,22,78,590,668,15,23,519,36,160,3625839,Fire Island CDP
24238,000,11,3,17,335,352,2,16,303,36,160,3625923,Fishers Island CDP
24241,000,33,337,1866,1944,3810,31,79,1464,36,160,3626121,Flanders CDP
24243,000,1422,202,1431,11283,12714,63,186,9410,36,160,3626264,Floral Park village
24245,000,671,22,186,3370,3556,22,68,2587,36,160,3626352,Flower Hill village
24257,000,194,67,425,7380,7805,26,150,6943,36,160,3626946,Fort Salonga CDP
24261,000,3028,1062,4360,20578,24938,266,420,15802,36,160,3627309,Franklin Square CDP
24265,000,657,10281,15719,19160,34879,432,899,6891,36,160,3627485,Freeport village
24276,000,1144,165,953,16724,17677,88,255,15072,36,160,3628178,Garden City village
24277,000,2849,195,734,5662,6396,62,148,2408,36,160,3628189,Garden City Park CDP
24278,000,275,30,335,2947,3282,10,48,2584,36,160,3628200,Garden City South CDP
24289,000,2,2,2,169,171,2,3,160,36,160,3628990,Gilgo CDP
24292,000,1292,1276,7056,16103,23159,158,367,13010,36,160,3629113,Glen Cove city
24293,000,240,30,372,3402,3774,27,66,3039,36,160,3629245,Glen Head CDP
24297,000,175,21,222,2865,3087,21,50,2598,36,160,3629421,Glenwood Landing CDP
24300,000,65,1112,987,1945,2932,72,119,577,36,160,3629509,Gordon Heights CDP
24310,000,1062,126,857,7285,8142,60,343,5694,36,160,3630169,Great Neck village
24311,000,410,9,90,2105,2195,20,73,1593,36,160,3630191,Great Neck Estates village
24312,000,253,3,16,871,887,5,19,591,36,160,3630202,Great Neck Gardens CDP
24313,000,1458,118,496,5722,6218,27,119,4000,36,160,3630213,Great Neck Plaza village
24314,000,33,25,115,1576,1691,1,11,1506,36,160,3630235,Great River CDP
24318,000,568,1312,1655,9022,10677,60,222,6860,36,160,3630543,Greenlawn CDP
24319,000,23,158,606,1392,1998,14,63,1134,36,160,3630576,Greenport village
24320,000,29,74,263,1725,1988,8,28,1586,36,160,3630581,Greenport West CDP
24321,000,218,8,85,764,849,5,20,513,36,160,3630598,Greenvale CDP
24334,000,55,38,125,1972,2097,18,40,1821,36,160,3631445,Halesite CDP
24342,000,132,152,4078,8173,12251,79,168,7642,36,160,3631896,Hampton Bays CDP
24348,000,24,0,4,391,395,3,14,350,36,160,3632094,Harbor Hills CDP
24349,000,22,22,92,1047,1139,5,22,976,36,160,3632105,Harbor Isle CDP
24357,000,1106,385,1449,14715,16164,94,256,12874,36,160,3632732,Hauppauge CDP
24361,000,39,4,145,1090,1235,5,37,1005,36,160,3632963,Head of the Harbor village
24363,000,1056,18402,20900,23664,44564,477,1117,2612,36,160,3633139,Hempstead village
24368,000,1876,21,155,3346,3501,44,73,1332,36,160,3634198,Herricks CDP
24371,000,460,231,785,4797,5582,38,118,3950,36,160,3634286,Hewlett CDP
24372,000,32,3,17,341,358,3,14,289,36,160,3634297,Hewlett Bay Park village
24373,000,50,11,45,964,1009,4,26,873,36,160,3634308,Hewlett Harbor village
24374,000,19,12,24,371,395,6,3,331,36,160,3634319,Hewlett Neck village
24375,000,11244,924,5842,29960,35802,272,730,16790,36,160,3634374,Hicksville CDP
24386,000,970,542,2237,19037,21274,118,300,17107,36,160,3635056,Holbrook CDP
24390,000,826,359,1961,13229,15190,67,278,11699,36,160,3635254,Holtsville CDP
24405,000,472,311,1039,15315,16354,77,317,14138,36,160,3636233,Huntington CDP
24406,000,28,4,39,1210,1249,13,30,1135,36,160,3637022,Huntington Bay village
24407,000,1273,2376,10800,15842,26642,164,493,11536,36,160,3637044,Huntington Station CDP
24413,000,368,1517,4192,3967,8159,78,129,1875,36,160,3637583,Inwood CDP
24416,000,191,352,845,2136,2981,22,60,1511,36,160,3637840,Islandia village
24417,000,165,110,1221,2762,3983,53,77,2357,36,160,3637847,Island Park village
24418,000,471,680,2492,12209,14701,101,322,10635,36,160,3637869,Islip CDP
24419,000,96,113,576,3629,4205,28,82,3310,36,160,3638022,Islip Terrace CDP
24422,000,5,17,125,1259,1384,1,15,1221,36,160,3638253,Jamesport CDP
24429,000,4814,216,412,10728,11140,52,150,5496,36,160,3638539,Jericho CDP
24439,000,182,0,13,926,939,7,28,709,36,160,3639309,Kensington village
