,id,name,stco,subreg,P_AsianO18,P_BlackO18,P_HispO18,P_NonHispO18,P_O18,P_OtherO18,P_TwoO18,P_WhiteO18,geotype,yr
652,3607150034,"Newburgh city, Orange County, New York",36071,MHV,211,5582,10089,10756,20845,165,545,4253,municipality,2020
653,3607150045,"Newburgh town, Orange County, New York",36071,MHV,774,3238,5038,20704,25742,198,751,15743,municipality,2020
654,3607150848,"New Windsor town, Orange County, New York",36071,MHV,829,2994,4999,16836,21835,162,640,12211,municipality,2020
655,3607159388,"Port Jervis city, Orange County, New York",36071,MHV,138,506,796,5894,6690,122,299,4829,municipality,2020
656,3607175781,"Tuxedo town, Orange County, New York",36071,MHV,157,134,338,2826,3164,20,56,2459,municipality,2020
657,3607177992,"Wallkill town, Orange County, New York",36071,MHV,1005,4440,6029,18174,24203,291,727,11711,municipality,2020
658,3607178366,"Warwick town, Orange County, New York",36071,MHV,489,1015,3107,22701,25808,189,679,20329,municipality,2020
659,3607178839,"Wawayanda town, Orange County, New York",36071,MHV,152,332,896,4967,5863,47,155,4281,municipality,2020
660,3607182755,"Woodbury town, Orange County, New York",36071,MHV,596,760,1761,7013,8774,177,204,5276,municipality,2020
661,3607912529,"Carmel town, Putnam County, New York",36079,LHV,563,590,3604,23070,26674,138,522,21257,municipality,2020
662,3607939331,"Kent town, Putnam County, New York",36079,LHV,209,282,1946,8449,10395,80,240,7638,municipality,2020
663,3607956748,"Patterson town, Putnam County, New York",36079,LHV,208,394,1921,7579,9500,42,240,6695,municipality,2020
664,3607957584,"Philipstown town, Putnam County, New York",36079,LHV,182,117,639,7249,7888,38,220,6692,municipality,2020
665,3607960147,"Putnam Valley town, Putnam County, New York",36079,LHV,210,227,1317,8037,9354,68,242,7290,municipality,2020
666,3607968924,"Southeast town, Putnam County, New York",36079,LHV,360,358,2930,11529,14459,100,264,10447,municipality,2020
667,3608160323,"Queens borough, Queens County, New York",36081,NYC,538284,308971,516054,1433415,1949469,50589,64694,470877,municipality,2020
668,3608570915,"Staten Island borough, Richmond County, New York",36085,NYC,46237,35179,68231,321162,389393,2807,7490,229449,municipality,2020
669,3608715968,"Clarkstown town, Rockland County, New York",36087,LHV,8114,6615,10983,57471,68454,472,1307,40963,municipality,2020
670,3608732765,"Haverstraw town, Rockland County, New York",36087,LHV,1411,4221,13053,16576,29629,162,506,10276,municipality,2020
671,3608755211,"Orangetown town, Rockland County, New York",36087,LHV,2925,2146,4621,34619,39240,211,769,28568,municipality,2020
672,3608760510,"Ramapo town, Rockland County, New York",36087,LHV,3697,13378,14842,75518,90360,1179,1788,55476,municipality,2020
673,3608771674,"Stony Point town, Rockland County, New York",36087,LHV,406,664,2153,9680,11833,76,266,8268,municipality,2020
674,3601594,"Amagansett CDP, New York",36103,LI,18,32,141,1370,1511,17,29,1274,municipality,2020
675,3602044,"Amityville village, New York",36103,LI,137,728,1249,6856,8105,53,149,5789,municipality,2020
676,3602374,"Aquebogue CDP, New York",36103,LI,25,51,335,1744,2079,8,43,1617,municipality,2020
677,3602737,"Asharoken village, New York",36103,LI,6,1,25,487,512,10,4,466,municipality,2020
678,3603408,"Babylon village, New York",36103,LI,245,161,748,8993,9741,48,208,8331,municipality,2020
679,3604055,"Baiting Hollow CDP, New York",36103,LI,17,48,208,2075,2283,8,35,1967,municipality,2020
680,3604913,"Bayport CDP, New York",36103,LI,110,123,511,6335,6846,23,140,5939,municipality,2020
681,3604935,"Bay Shore CDP, New York",36103,LI,946,3835,7852,14709,22561,266,523,9139,municipality,2020
682,3605039,"Baywood CDP, New York",36103,LI,224,791,2519,3541,6060,65,184,2277,municipality,2020
683,3605672,"Belle Terre village, New York",36103,LI,35,8,44,616,660,5,25,543,municipality,2020
684,3605771,"Bellport village, New York",36103,LI,34,43,81,1759,1840,9,54,1619,municipality,2020
685,3607069,"Blue Point CDP, New York",36103,LI,66,33,190,3990,4180,20,64,3807,municipality,2020
686,3607157,"Bohemia CDP, New York",36103,LI,261,126,724,7183,7907,14,122,6660,municipality,2020
687,3608026,"Brentwood CDP, New York",36103,LI,920,5423,33972,12327,46299,463,533,4988,municipality,2020
688,3608136,"Bridgehampton CDP, New York",36103,LI,47,175,289,2067,2356,11,44,1790,municipality,2020
689,3608323,"Brightwaters village, New York",36103,LI,43,59,163,2288,2451,0,47,2139,municipality,2020
690,3609000,"Brookhaven CDP, New York",36103,LI,27,122,199,2555,2754,19,55,2332,municipality,2020
691,3611781,"Calverton CDP, New York",36103,LI,43,284,721,4265,4986,21,100,3817,municipality,2020
692,3613376,"Centereach CDP, New York",36103,LI,2100,725,3597,21070,24667,115,568,17562,municipality,2020
693,3613420,"Center Moriches CDP, New York",36103,LI,92,187,747,5502,6249,26,148,5049,municipality,2020
694,3613442,"Centerport CDP, New York",36103,LI,84,19,222,4455,4677,29,97,4226,municipality,2020
695,3613552,"Central Islip CDP, New York",36103,LI,905,5618,15531,12304,27835,322,602,4857,municipality,2020
696,3616958,"Cold Spring Harbor CDP, New York",36103,LI,90,10,129,2157,2286,5,51,2001,municipality,2020
697,3617530,"Commack CDP, New York",36103,LI,1892,424,1921,26877,28798,140,455,23966,municipality,2020
698,3618146,"Copiague CDP, New York",36103,LI,445,1413,6975,11816,18791,143,345,9470,municipality,2020
699,3618157,"Coram CDP, New York",36103,LI,1841,3672,5277,27229,32506,213,868,20635,municipality,2020
700,3619466,"Cutchogue CDP, New York",36103,LI,23,36,302,2608,2910,3,35,2511,municipality,2020
701,3619972,"Deer Park CDP, New York",36103,LI,2510,2943,3628,19198,22826,247,477,13021,municipality,2020
702,3620379,"Dering Harbor village, New York",36103,LI,4,0,14,25,39,1,1,19,municipality,2020
703,3620687,"Dix Hills CDP, New York",36103,LI,3365,1055,1515,18831,20346,176,444,13791,municipality,2020
704,3621985,"East Farmingdale CDP, New York",36103,LI,403,650,1221,4155,5376,48,111,2943,municipality,2020
705,3622183,"East Hampton village, New York",36103,LI,17,24,123,1170,1293,5,21,1103,municipality,2020
706,3622200,"East Hampton North CDP, New York",36103,LI,62,184,1741,2476,4217,32,70,2128,municipality,2020
707,3622315,"East Islip CDP, New York",36103,LI,221,152,971,10110,11081,53,227,9457,municipality,2020
708,3622447,"East Marion CDP, New York",36103,LI,11,11,85,842,927,8,22,790,municipality,2020
709,3622546,"East Moriches CDP, New York",36103,LI,68,88,375,4338,4713,27,74,4081,municipality,2020
710,3622612,"East Northport CDP, New York",36103,LI,489,161,1469,14476,15945,59,276,13491,municipality,2020
711,3622733,"East Patchogue CDP, New York",36103,LI,441,797,3526,14049,17575,94,416,12301,municipality,2020
712,3622810,"Eastport CDP, New York",36103,LI,12,22,220,1673,1893,12,41,1586,municipality,2020
713,3622832,"East Quogue CDP, New York",36103,LI,62,28,715,3705,4420,19,67,3529,municipality,2020
714,3622980,"East Shoreham CDP, New York",36103,LI,149,100,420,4887,5307,24,134,4480,municipality,2020
715,3623316,"Eatons Neck CDP, New York",36103,LI,22,5,39,1071,1110,5,13,1026,municipality,2020
716,3624405,"Elwood CDP, New York",36103,LI,771,443,925,8190,9115,32,193,6751,municipality,2020
717,3625417,"Farmingville CDP, New York",36103,LI,532,382,1837,9955,11792,87,313,8641,municipality,2020
718,3625839,"Fire Island CDP, New York",36103,LI,11,22,78,590,668,15,23,519,municipality,2020
719,3625923,"Fishers Island CDP, New York",36103,LI,11,3,17,335,352,2,16,303,municipality,2020
720,3626121,"Flanders CDP, New York",36103,LI,33,337,1866,1944,3810,31,79,1464,municipality,2020
721,3626946,"Fort Salonga CDP, New York",36103,LI,194,67,425,7380,7805,26,150,6943,municipality,2020
722,3628997,"Gilgo-Oak Beach-Captree CDP, New York",36103,LI,16,4,20,418,438,2,4,392,municipality,2020
723,3629509,"Gordon Heights CDP, New York",36103,LI,65,1112,987,1945,2932,72,119,577,municipality,2020
724,3630235,"Great River CDP, New York",36103,LI,33,25,115,1576,1691,1,11,1506,municipality,2020
725,3630543,"Greenlawn CDP, New York",36103,LI,568,1312,1655,9022,10677,60,222,6860,municipality,2020
726,3630576,"Greenport village, New York",36103,LI,23,158,606,1392,1998,14,63,1134,municipality,2020
727,3630581,"Greenport West CDP, New York",36103,LI,29,74,263,1725,1988,8,28,1586,municipality,2020
728,3631445,"Halesite CDP, New York",36103,LI,55,38,125,1972,2097,18,40,1821,municipality,2020
729,3631896,"Hampton Bays CDP, New York",36103,LI,132,152,4078,8173,12251,79,168,7642,municipality,2020
730,3632732,"Hauppauge CDP, New York",36103,LI,1106,385,1449,14715,16164,94,256,12874,municipality,2020
731,3632963,"Head of the Harbor village, New York",36103,LI,39,4,145,1090,1235,5,37,1005,municipality,2020
732,3635056,"Holbrook CDP, New York",36103,LI,970,542,2237,19037,21274,118,300,17107,municipality,2020
733,3635254,"Holtsville CDP, New York",36103,LI,826,359,1961,13229,15190,67,278,11699,municipality,2020
734,3636233,"Huntington CDP, New York",36103,LI,472,311,1039,15315,16354,77,317,14138,municipality,2020
735,3637022,"Huntington Bay village, New York",36103,LI,28,4,39,1210,1249,13,30,1135,municipality,2020
736,3637044,"Huntington Station CDP, New York",36103,LI,1273,2376,10800,15842,26642,164,493,11536,municipality,2020
737,3637840,"Islandia village, New York",36103,LI,191,352,845,2136,2981,22,60,1511,municipality,2020
738,3637869,"Islip CDP, New York",36103,LI,471,680,2492,12209,14701,101,322,10635,municipality,2020
739,3638022,"Islip Terrace CDP, New York",36103,LI,96,113,576,3629,4205,28,82,3310,municipality,2020
740,3638253,"Jamesport CDP, New York",36103,LI,5,17,125,1259,1384,1,15,1221,municipality,2020
741,3639672,"Kings Park CDP, New York",36103,LI,461,150,938,12986,13924,50,230,12095,municipality,2020
742,3640530,"Lake Grove village, New York",36103,LI,775,209,927,8140,9067,30,193,6933,municipality,2020
743,3640838,"Lake Ronkonkoma CDP, New York",36103,LI,853,494,1824,13128,14952,126,320,11335,municipality,2020
744,3641465,"Laurel CDP, New York",36103,LI,13,5,185,1040,1225,9,22,991,municipality,2020
745,3642554,"Lindenhurst village, New York",36103,LI,595,490,3118,18874,21992,112,418,17259,municipality,2020
746,3643005,"Lloyd Harbor village, New York",36103,LI,106,9,134,2566,2700,11,58,2382,municipality,2020
747,3645139,"Manorville CDP, New York",36103,LI,203,263,1009,10242,11251,47,249,9480,municipality,2020
748,3646074,"Mastic CDP, New York",36103,LI,299,1011,3103,8555,11658,122,370,6753,municipality,2020
749,3646085,"Mastic Beach CDP, New York",36103,LI,173,1160,2066,8684,10750,109,423,6819,municipality,2020
750,3646140,"Mattituck CDP, New York",36103,LI,37,58,347,3288,3635,7,68,3118,municipality,2020
751,3646404,"Medford CDP, New York",36103,LI,635,1217,4170,15232,19402,116,462,12802,municipality,2020
752,3646514,"Melville CDP, New York",36103,LI,1567,615,922,14882,15804,67,278,12355,municipality,2020
753,3646976,"Middle Island CDP, New York",36103,LI,225,999,908,7784,8692,77,213,6270,municipality,2020
754,3647306,"Miller Place CDP, New York",36103,LI,268,138,587,8509,9096,33,157,7913,municipality,2020
755,3648054,"Montauk CDP, New York",36103,LI,49,81,641,2997,3638,27,94,2746,municipality,2020
756,3648450,"Moriches CDP, New York",36103,LI,43,202,267,2223,2490,23,73,1882,municipality,2020
757,3649066,"Mount Sinai CDP, New York",36103,LI,459,134,679,8498,9177,43,139,7723,municipality,2020
758,3649424,"Napeague CDP, New York",36103,LI,11,7,19,284,303,4,7,255,municipality,2020
759,3649825,"Nesconset CDP, New York",36103,LI,621,170,803,9673,10476,70,189,8623,municipality,2020
760,3650727,"New Suffolk CDP, New York",36103,LI,0,1,19,312,331,1,3,307,municipality,2020
761,3651286,"Nissequogue village, New York",36103,LI,31,6,59,1228,1287,13,29,1149,municipality,2020
762,3651396,"North Amityville CDP, New York",36103,LI,241,7016,4729,9501,14230,265,436,1543,municipality,2020
763,3651418,"Northampton CDP, New York",36103,LI,10,119,197,376,573,3,10,234,municipality,2020
764,3651440,"North Babylon CDP, New York",36103,LI,775,1263,2369,12122,14491,103,315,9666,municipality,2020
765,3651495,"North Bay Shore CDP, New York",36103,LI,689,2087,9744,4873,14617,156,227,1714,municipality,2020
766,3651528,"North Bellport CDP, New York",36103,LI,263,1947,3032,5912,8944,143,297,3262,municipality,2020
767,3652078,"North Great River CDP, New York",36103,LI,77,106,507,2952,3459,14,56,2699,municipality,2020
768,3652188,"North Haven village, New York",36103,LI,15,7,39,908,947,5,18,863,municipality,2020
769,3653198,"North Lindenhurst CDP, New York",36103,LI,365,574,2411,7095,9506,85,193,5878,municipality,2020
770,3653319,"North Patchogue CDP, New York",36103,LI,103,152,1264,4116,5380,24,94,3743,municipality,2020
771,3653396,"Northport village, New York",36103,LI,119,46,263,5796,6059,24,91,5516,municipality,2020
772,3653561,"North Sea CDP, New York",36103,LI,102,54,727,3665,4392,58,120,3331,municipality,2020
773,3653775,"Northville CDP, New York",36103,LI,15,17,153,1196,1349,2,26,1136,municipality,2020
774,3653852,"Northwest Harbor CDP, New York",36103,LI,96,72,641,3225,3866,49,84,2924,municipality,2020
775,3654056,"Noyack CDP, New York",36103,LI,58,52,412,3161,3573,19,65,2967,municipality,2020
776,3654144,"Oakdale CDP, New York",36103,LI,82,73,362,5857,6219,9,91,5602,municipality,2020
777,3654430,"Ocean Beach village, New York",36103,LI,0,2,5,132,137,1,4,125,municipality,2020
778,3654617,"Old Field village, New York",36103,LI,71,2,24,722,746,9,14,626,municipality,2020
779,3655321,"Orient CDP, New York",36103,LI,10,2,30,845,875,5,15,813,municipality,2020
780,3656660,"Patchogue village, New York",36103,LI,205,528,2556,7746,10302,54,201,6758,municipality,2020
781,3656968,"Peconic CDP, New York",36103,LI,6,12,57,539,596,5,9,507,municipality,2020
782,3659157,"Poquott village, New York",36103,LI,77,8,36,711,747,0,10,616,municipality,2020
783,3659355,"Port Jefferson village, New York",36103,LI,438,82,490,6100,6590,40,196,5344,municipality,2020
784,3659377,"Port Jefferson Station CDP, New York",36103,LI,420,237,1099,5194,6293,17,132,4388,municipality,2020
785,3660408,"Quiogue CDP, New York",36103,LI,18,34,200,585,785,11,23,499,municipality,2020
786,3660422,"Quogue village, New York",36103,LI,45,34,94,1281,1375,23,21,1158,municipality,2020
787,3661142,"Remsenburg-Speonk CDP, New York",36103,LI,32,28,244,2254,2498,9,36,2149,municipality,2020
788,3661665,"Ridge CDP, New York",36103,LI,273,521,762,10443,11205,48,212,9389,municipality,2020
789,3661973,"Riverhead CDP, New York",36103,LI,174,1396,3854,8026,11880,86,258,6112,municipality,2020
790,3662066,"Riverside CDP, New York",36103,LI,22,488,847,1570,2417,23,46,991,municipality,2020
791,3663319,"Rocky Point CDP, New York",36103,LI,197,128,1050,9512,10562,25,285,8877,municipality,2020
792,3663473,"Ronkonkoma CDP, New York",36103,LI,844,432,1944,13152,15096,206,353,11317,municipality,2020
793,3664452,"Sagaponack village, New York",36103,LI,27,5,42,585,627,10,11,532,municipality,2020
794,3664485,"Sag Harbor village, New York",36103,LI,23,190,219,2077,2296,28,65,1771,municipality,2020
795,3664584,"St. James CDP, New York",36103,LI,391,94,713,10158,10871,31,181,9461,municipality,2020
796,3664881,"Saltaire village, New York",36103,LI,2,0,3,96,99,0,3,91,municipality,2020
797,3665409,"Sayville CDP, New York",36103,LI,218,150,756,12513,13269,45,240,11860,municipality,2020
798,3666212,"Selden CDP, New York",36103,LI,1120,675,2876,13911,16787,122,336,11658,municipality,2020
799,3666481,"Setauket-East Setauket CDP, New York",36103,LI,1260,149,749,11168,11917,59,253,9447,municipality,2020
800,3666828,"Shelter Island CDP, New York",36103,LI,17,12,130,1224,1354,2,49,1144,municipality,2020
801,3666850,"Shelter Island Heights CDP, New York",36103,LI,24,4,57,1351,1408,1,38,1284,municipality,2020
802,3667048,"Shinnecock Hills CDP, New York",36103,LI,37,39,483,1313,1796,15,42,1180,municipality,2020
803,3667070,"Shirley CDP, New York",36103,LI,566,1314,4244,16172,20416,174,623,13495,municipality,2020
804,3667191,"Shoreham village, New York",36103,LI,12,8,30,423,453,0,15,388,municipality,2020
805,3667851,"Smithtown CDP, New York",36103,LI,776,260,1776,18683,20459,98,416,17133,municipality,2020
806,3668374,"Sound Beach CDP, New York",36103,LI,113,93,513,5332,5845,34,150,4942,municipality,2020
807,3668462,"Southampton village, New York",36103,LI,106,200,546,3219,3765,42,81,2790,municipality,2020
808,3669254,"South Huntington CDP, New York",36103,LI,629,164,985,6805,7790,31,155,5826,municipality,2020
809,3669452,"Southold CDP, New York",36103,LI,70,57,535,4597,5132,18,109,4343,municipality,2020
810,3670387,"Springs CDP, New York",36103,LI,114,107,2012,4462,6474,21,144,4076,municipality,2020
811,3671608,"Stony Brook CDP, New York",36103,LI,1375,179,574,10352,10926,57,213,8528,municipality,2020
812,3671620,"Stony Brook University CDP, New York",36103,LI,1820,3484,1718,8584,10302,117,532,2631,municipality,2020
813,3673352,"Terryville CDP, New York",36103,LI,355,310,1640,7476,9116,44,181,6586,municipality,2020
814,3675572,"Tuckahoe CDP, New York",36103,LI,33,77,261,998,1259,19,27,842,municipality,2020
815,3677519,"Village of the Branch village, New York",36103,LI,39,18,71,1288,1359,3,25,1203,municipality,2020
816,3677772,"Wading River CDP, New York",36103,LI,83,114,442,5659,6101,24,144,5294,municipality,2020
817,3677805,"Wainscott CDP, New York",36103,LI,18,16,113,642,755,9,12,587,municipality,2020
818,3678575,"Water Mill CDP, New York",36103,LI,71,17,142,1915,2057,7,54,1766,municipality,2020
819,3679246,"West Babylon CDP, New York",36103,LI,1142,4039,5677,28955,34632,202,801,22771,municipality,2020
820,3679301,"West Bay Shore CDP, New York",36103,LI,110,100,327,3423,3750,15,78,3120,municipality,2020
821,3680170,"Westhampton CDP, New York",36103,LI,39,69,440,2492,2932,23,53,2308,municipality,2020
822,3680181,"Westhampton Beach village, New York",36103,LI,37,26,217,1538,1755,8,26,1441,municipality,2020
823,3680186,"West Hampton Dunes village, New York",36103,LI,2,0,2,103,105,0,0,101,municipality,2020
824,3680258,"West Hills CDP, New York",36103,LI,309,89,386,4081,4467,20,62,3601,municipality,2020
825,3680302,"West Islip CDP, New York",36103,LI,413,138,1872,19575,21447,51,340,18633,municipality,2020
826,3680885,"West Sayville CDP, New York",36103,LI,59,39,217,3731,3948,11,72,3550,municipality,2020
827,3681419,"Wheatley Heights CDP, New York",36103,LI,312,2014,618,3324,3942,64,141,793,municipality,2020
828,3683294,"Wyandanch CDP, New York",36103,LI,132,4799,3721,5651,9372,130,254,336,municipality,2020
829,3683426,"Yaphank CDP, New York",36103,LI,132,225,548,4352,4900,44,155,3796,municipality,2020
830,3610304000,"Babylon town, Suffolk County, New York",36103,LI,7322,26102,36522,136992,173514,1503,3855,98210,municipality,2020
831,3610310000,"Brookhaven town, Suffolk County, New York",36103,LI,18962,23621,58329,330329,388658,2499,9623,275624,municipality,2020
832,3610322194,"East Hampton town, Suffolk County, New York",36103,LI,402,698,5574,17585,23159,181,498,15806,municipality,2020
833,3610337000,"Huntington town, Suffolk County, New York",36103,LI,10691,6834,21554,141028,162582,860,3074,119569,municipality,2020
834,3610338000,"Islip town, Suffolk County, New York",36103,LI,8498,21216,84928,180215,265143,2047,4729,143725,municipality,2020
835,3610359106,"Poospatuck Reservation, Suffolk County, New York",36103,LI,0,51,61,261,322,163,22,25,municipality,2020
836,3610361984,"Riverhead town, Suffolk County, New York",36103,LI,352,1774,5607,23563,29170,148,592,20697,municipality,2020
837,3610366839,"Shelter Island town, Suffolk County, New York",36103,LI,45,16,201,2600,2801,4,88,2447,municipality,2020
838,3610367059,"Shinnecock Reservation, Suffolk County, New York",36103,LI,0,29,25,591,616,522,15,25,municipality,2020
839,3610368000,"Smithtown town, Suffolk County, New York",36103,LI,4275,1227,6845,86018,92863,450,1672,78394,municipality,2020
840,3610368473,"Southampton town, Suffolk County, New York",36103,LI,939,1961,12001,43610,55611,432,1044,39234,municipality,2020
841,3610369463,"Southold town, Suffolk County, New York",36103,LI,233,417,2446,17527,19973,80,393,16404,municipality,2020
842,3610506310,"Bethel town, Sullivan County, New York",36105,MHV,32,72,365,2997,3362,26,103,2764,municipality,2020
843,3610511759,"Callicoon town, Sullivan County, New York",36105,MHV,57,28,164,2344,2508,14,74,2171,municipality,2020
844,3610516661,"Cochecton town, Sullivan County, New York",36105,MHV,7,15,56,1128,1184,7,44,1055,municipality,2020
845,3610520104,"Delaware town, Sullivan County, New York",36105,MHV,20,98,113,1683,1796,11,43,1511,municipality,2020
846,3610525241,"Fallsburg town, Sullivan County, New York",36105,MHV,275,1585,2729,8263,10992,149,299,5955,municipality,2020
847,3610526528,"Forestburgh town, Sullivan County, New York",36105,MHV,15,13,26,664,690,4,17,615,municipality,2020
848,3610527573,"Fremont town, Sullivan County, New York",36105,MHV,10,20,49,941,990,8,23,880,municipality,2020
849,3610534473,"Highland town, Sullivan County, New York",36105,MHV,17,27,108,1758,1866,10,48,1656,municipality,2020
850,3610542235,"Liberty town, Sullivan County, New York",36105,MHV,140,554,1797,5996,7793,58,305,4939,municipality,2020
851,3610543786,"Lumberland town, Sullivan County, New York",36105,MHV,24,30,141,1676,1817,16,78,1528,municipality,2020
852,3610544809,"Mamakating town, Sullivan County, New York",36105,MHV,165,332,1030,8591,9621,112,428,7554,municipality,2020
853,3610549847,"Neversink town, Sullivan County, New York",36105,MHV,36,34,144,2569,2713,10,71,2418,municipality,2020
854,3610563176,"Rockland town, Sullivan County, New York",36105,MHV,48,39,208,2426,2634,16,97,2226,municipality,2020
855,3610573627,"Thompson town, Sullivan County, New York",36105,MHV,475,2066,2582,10074,12656,170,534,6829,municipality,2020
856,3610575759,"Tusten town, Sullivan County, New York",36105,MHV,24,26,70,1094,1164,5,37,1002,municipality,2020
857,3611120247,"Denning town, Ulster County, New York",36111,MHV,3,12,21,405,426,6,28,356,municipality,2020
858,3611124691,"Esopus town, Ulster County, New York",36111,MHV,91,307,413,7443,7856,45,304,6696,municipality,2020
859,3611128255,"Gardiner town, Ulster County, New York",36111,MHV,84,63,315,4248,4563,29,189,3883,municipality,2020
860,3611132116,"Hardenburgh town, Ulster County, New York",36111,MHV,13,1,11,175,186,0,0,161,municipality,2020
861,3611137143,"Hurley town, Ulster County, New York",36111,MHV,104,92,256,4910,5166,52,152,4510,municipality,2020
862,3611139727,"Kingston city, Ulster County, New York",36111,MHV,462,2272,2687,16530,19217,141,933,12722,municipality,2020
863,3611139738,"Kingston town, Ulster County, New York",36111,MHV,9,6,36,734,770,8,35,676,municipality,2020
864,3611142994,"Lloyd town, Ulster County, New York",36111,MHV,261,531,799,8197,8996,77,267,7061,municipality,2020
865,3611145458,"Marbletown town, Ulster County, New York",36111,MHV,85,62,206,4576,4782,33,195,4201,municipality,2020
866,3611145722,"Marlborough town, Ulster County, New York",36111,MHV,76,367,674,6295,6969,24,185,5643,municipality,2020
867,3611150562,"New Paltz town, Ulster County, New York",36111,MHV,702,666,1508,10833,12341,229,366,8870,municipality,2020
868,3611154749,"Olive town, Ulster County, New York",36111,MHV,50,40,165,3400,3565,36,155,3119,municipality,2020
869,3611158552,"Plattekill town, Ulster County, New York",36111,MHV,82,405,1464,6808,8272,75,331,5915,municipality,2020
870,3611163011,"Rochester town, Ulster County, New York",36111,MHV,95,97,333,5569,5902,49,260,5068,municipality,2020
871,3611163737,"Rosendale town, Ulster County, New York",36111,MHV,56,88,254,4591,4845,41,192,4214,municipality,2020
872,3611165299,"Saugerties town, Ulster County, New York",36111,MHV,224,305,970,14743,15713,72,605,13537,municipality,2020
873,3611166597,"Shandaken town, Ulster County, New York",36111,MHV,40,33,152,2284,2436,39,95,2077,municipality,2020
874,3611166674,"Shawangunk town, Ulster County, New York",36111,MHV,151,1028,1507,9806,11313,70,268,8289,municipality,2020
875,3611175935,"Ulster town, Ulster County, New York",36111,MHV,255,455,795,9643,10438,84,383,8466,municipality,2020
876,3611178828,"Wawarsing town, Ulster County, New York",36111,MHV,145,1410,2037,8203,10240,106,394,6148,municipality,2020
877,3611183052,"Woodstock town, Ulster County, New York",36111,MHV,141,87,256,5205,5461,53,167,4757,municipality,2020
878,3611905320,"Bedford town, Westchester County, New York",36119,LHV,467,657,2028,11361,13389,86,291,9860,municipality,2020
879,3611918410,"Cortlandt town, Westchester County, New York",36119,LHV,1333,2004,5995,27700,33695,218,945,23200,municipality,2020
880,3611921820,"Eastchester town, Westchester County, New York",36119,LHV,2298,837,2216,24169,26385,144,549,20341,municipality,2020
881,3611930367,"Greenburgh town, Westchester County, New York",36119,LHV,8967,8315,12003,62936,74939,605,1994,43055,municipality,2020
882,3611932413,"Harrison town, Westchester County, New York",36119,LHV,2003,621,3221,18380,21601,143,556,15057,municipality,2020
883,3611942136,"Lewisboro town, Westchester County, New York",36119,LHV,362,168,657,8905,9562,61,269,8045,municipality,2020
884,3611944842,"Mamaroneck town, Westchester County, New York",36119,LHV,1229,711,3956,19406,23362,196,584,16686,municipality,2020
885,3611948895,"Mount Kisco town, Westchester County, New York",36119,LHV,444,383,3318,5402,8720,45,161,4369,municipality,2020
886,3611949011,"Mount Pleasant town, Westchester County, New York",36119,LHV,2012,1062,6723,27811,34534,187,645,23905,municipality,2020
887,3611949121,"Mount Vernon city, Westchester County, New York",36119,LHV,1166,35456,10276,48296,58572,1229,2468,7977,municipality,2020
888,3611950078,"New Castle town, Westchester County, New York",36119,LHV,1511,203,797,12358,13155,58,313,10273,municipality,2020
889,3611950617,"New Rochelle city, Westchester County, New York",36119,LHV,3194,11715,19039,44150,63189,698,1592,26951,municipality,2020
890,3611951693,"North Castle town, Westchester County, New York",36119,LHV,598,150,1029,8306,9335,33,192,7333,municipality,2020
891,3611953517,"North Salem town, Westchester County, New York",36119,LHV,91,56,392,3799,4191,24,89,3539,municipality,2020
892,3611955541,"Ossining town, Westchester County, New York",36119,LHV,1745,3468,10325,21460,31785,175,643,15429,municipality,2020
893,3611956979,"Peekskill city, Westchester County, New York",36119,LHV,626,3822,7915,12189,20104,155,567,7019,municipality,2020
894,3611957012,"Pelham town, Westchester County, New York",36119,LHV,633,530,1087,8244,9331,132,293,6656,municipality,2020
895,3611959685,"Pound Ridge town, Westchester County, New York",36119,LHV,128,58,244,3765,4009,15,129,3435,municipality,2020
896,3611964309,"Rye city, Westchester County, New York",36119,LHV,820,151,936,10746,11682,48,312,9415,municipality,2020
897,3611964320,"Rye town, Westchester County, New York",36119,LHV,1477,1426,17427,20631,38058,293,837,16598,municipality,2020
898,3611965442,"Scarsdale town, Westchester County, New York",36119,LHV,2571,168,594,12009,12603,82,380,8808,municipality,2020
899,3611968308,"Somers town, Westchester County, New York",36119,LHV,637,220,1313,16077,17390,44,340,14836,municipality,2020
900,3611981677,"White Plains city, Westchester County, New York",36119,LHV,4131,5644,14424,33814,48238,427,1154,22458,municipality,2020
901,3611984000,"Yonkers city, Westchester County, New York",36119,LHV,10843,26163,64473,101530,166003,1582,3358,59584,municipality,2020
902,3611984077,"Yorktown town, Westchester County, New York",36119,LHV,1529,971,3587,25023,28610,159,565,21799,municipality,2020
0,0.0,United States,,,15713740,30266080,43322792,215020489,258343281,3290299,8631797,157118573,nation,2020
