stco,id_00,nm_00,geoid,name
34003,3400364170,"Rockleigh borough, Bergen County, New Jersey",3400364170,"Rockleigh borough, Bergen County, New Jersey"
34003,3400365280,"Rutherford borough, Bergen County, New Jersey",3400365280,"Rutherford borough, Bergen County, New Jersey"
34003,3400365340,"Saddle Brook township, Bergen County, New Jersey",3400365340,"Saddle Brook township, Bergen County, New Jersey"
34003,3400365400,"Saddle River borough, Bergen County, New Jersey",3400365400,"Saddle River borough, Bergen County, New Jersey"
34003,3400368970,"South Hackensack township, Bergen County, New Jersey",3400368970,"South Hackensack township, Bergen County, New Jersey"
34003,3400372360,"Teaneck township, Bergen County, New Jersey",3400372360,"Teaneck township, Bergen County, New Jersey"
34003,3400372420,"Tenafly borough, Bergen County, New Jersey",3400372420,"Tenafly borough, Bergen County, New Jersey"
34003,3400372480,"Teterboro borough, Bergen County, New Jersey",3400372480,"Teterboro borough, Bergen County, New Jersey"
34003,3400375140,"Upper Saddle River borough, Bergen County, New Jersey",3400375140,"Upper Saddle River borough, Bergen County, New Jersey"
34003,3400376400,"Waldwick borough, Bergen County, New Jersey",3400376400,"Waldwick borough, Bergen County, New Jersey"
34003,3400376490,"Wallington borough, Bergen County, New Jersey",3400376490,"Wallington borough, Bergen County, New Jersey"
34003,3400377135,"Washington township, Bergen County, New Jersey",3400377135,"Washington township, Bergen County, New Jersey"
34003,3400380270,"Westwood borough, Bergen County, New Jersey",3400380270,"Westwood borough, Bergen County, New Jersey"
34003,3400382300,"Woodcliff Lake borough, Bergen County, New Jersey",3400382300,"Woodcliff Lake borough, Bergen County, New Jersey"
34003,3400382570,"Wood-Ridge borough, Bergen County, New Jersey",3400382570,"Wood-Ridge borough, Bergen County, New Jersey"
34003,3400383050,"Wyckoff township, Bergen County, New Jersey",3400383050,"Wyckoff township, Bergen County, New Jersey"
34013,3401304695,"Belleville township, Essex County, New Jersey",3401304695,"Belleville township, Essex County, New Jersey"
34013,3401306260,"Bloomfield township, Essex County, New Jersey",3401306260,"Bloomfield township, Essex County, New Jersey"
34013,3401309220,"Caldwell borough, Essex County, New Jersey",3401309250,"Caldwell borough, Essex County, New Jersey"
34013,3401311200,"Cedar Grove township, Essex County, New Jersey",3401311200,"Cedar Grove township, Essex County, New Jersey"
34013,3401313045,"City of Orange township, Essex County, New Jersey",3401313045,"City of Orange township, Essex County, New Jersey"
34013,3401319390,"East Orange city, Essex County, New Jersey",3401319390,"East Orange city, Essex County, New Jersey"
34013,3401321840,"Essex Fells borough, Essex County, New Jersey",3401321840,"Essex Fells borough, Essex County, New Jersey"
34013,3401322385,"Fairfield township, Essex County, New Jersey",3401322385,"Fairfield township, Essex County, New Jersey"
34013,3401326610,"Glen Ridge borough, Essex County, New Jersey",3401326610,"Glen Ridge borough, Essex County, New Jersey"
34013,3401334450,"Irvington township, Essex County, New Jersey",3401334450,"Irvington township, Essex County, New Jersey"
34013,3401340890,"Livingston township, Essex County, New Jersey",3401340890,"Livingston township, Essex County, New Jersey"
34013,3401343800,"Maplewood township, Essex County, New Jersey",3401343800,"Maplewood township, Essex County, New Jersey"
34013,3401346380,"Millburn township, Essex County, New Jersey",3401346380,"Millburn township, Essex County, New Jersey"
34013,3401347500,"Montclair township, Essex County, New Jersey",3401347500,"Montclair township, Essex County, New Jersey"
34013,3401351000,"Newark city, Essex County, New Jersey",3401351000,"Newark city, Essex County, New Jersey"
34013,3401352620,"North Caldwell borough, Essex County, New Jersey",3401352620,"North Caldwell borough, Essex County, New Jersey"
34013,3401353680,"Nutley township, Essex County, New Jersey",3401353680,"Nutley township, Essex County, New Jersey"
34013,3401364590,"Roseland borough, Essex County, New Jersey",3401364590,"Roseland borough, Essex County, New Jersey"
34013,3401369274,"South Orange Village township, Essex County, New Jersey",3401369274,"South Orange Village township, Essex County, New Jersey"
34013,3401375815,"Verona township, Essex County, New Jersey",3401375815,"Verona township, Essex County, New Jersey"
34013,3401378510,"West Caldwell township, Essex County, New Jersey",3401378510,"West Caldwell township, Essex County, New Jersey"
34013,3401379800,"West Orange township, Essex County, New Jersey",3401379800,"West Orange township, Essex County, New Jersey"
34017,3401703580,"Bayonne city, Hudson County, New Jersey",3401703580,"Bayonne city, Hudson County, New Jersey"
34017,3401719360,"East Newark borough, Hudson County, New Jersey",3401719360,"East Newark borough, Hudson County, New Jersey"
