stco,ct_id,ct_name,name,id_sub
36081,36081089201,892.01,QN Southwest,36081SW
36081,36081003200,32,QN Southwest,36081SW
36081,36081003000,30,QN Southwest,36081SW
36081,36081002800,28,QN Southwest,36081SW
36081,36081002600,26,QN Southwest,36081SW
36081,36081002400,24,QN Southwest,36081SW
36081,36081002200,22,QN Southwest,36081SW
36081,36081002000,20,QN Southwest,36081SW
36081,36081018000,180,QN Southwest,36081SW
36081,36081001800,18,QN Southwest,36081SW
36081,36081001600,16,QN Southwest,36081SW
36081,36081001400,14,QN Southwest,36081SW
36081,36081017800,178,QN Southwest,36081SW
36081,36081001200,12,QN Southwest,36081SW
36081,36081017600,176,QN Southwest,36081SW
36081,36081001000,10,QN Southwest,36081SW
36081,36081017400,174,QN Southwest,36081SW
36081,36081000800,8,QN Southwest,36081SW
36081,36081017200,172,QN Southwest,36081SW
36081,36081000600,6,QN Southwest,36081SW
36081,36081017000,170,QN Southwest,36081SW
36081,36081000400,4,QN Southwest,36081SW
36081,36081000200,2,QN Southwest,36081SW
36081,36081016800,168,QN Southwest,36081SW
36081,36081016600,166,QN Southwest,36081SW
36081,36081016400,164,QN Southwest,36081SW
36081,36081015802,158.02,QN Southwest,36081SW
36081,36081015801,158.01,QN Southwest,36081SW
36081,36081077500,775,QN Southwest,36081SW
36081,36081077300,773,QN Southwest,36081SW
36081,36081006202,62.02,QN Southwest,36081SW
36081,36081006201,62.01,QN Southwest,36081SW
36081,36081005800,58,QN Southwest,36081SW
36081,36081005400,54,QN Southwest,36081SW
36081,36081021603,216.03,QN Southwest,36081SW
36081,36081021602,216.02,QN Southwest,36081SW
36081,36081005200,52,QN Southwest,36081SW
36081,36081021601,216.01,QN Southwest,36081SW
36081,36081005000,50,QN Southwest,36081SW
36081,36081004401,44.01,QN Southwest,36081SW
36081,36081004200,42,QN Southwest,36081SW
36081,36081004002,40.02,QN Southwest,36081SW
36081,36081004001,40.01,QN Southwest,36081SW
36081,36081003800,38,QN Southwest,36081SW
36081,36081012000,120,QN Southwest,36081SW
36081,36081011800,118,QN Southwest,36081SW
36081,36081011600,116,QN Southwest,36081SW
36081,36081088400,884,QN Southwest,36081SW
36081,36081011400,114,QN Southwest,36081SW
36081,36081011200,112,QN Southwest,36081SW
36081,36081086400,864,QN Southwest,36081SW
36081,36081011000,110,QN Southwest,36081SW
36081,36081010800,108,QN Southwest,36081SW
36081,36081010600,106,QN Southwest,36081SW
36081,36081010400,104,QN Southwest,36081SW
36081,36081010200,102,QN Southwest,36081SW
36081,36081084602,846.02,QN Southwest,36081SW
36081,36081010000,100,QN Southwest,36081SW
36081,36081084601,846.01,QN Southwest,36081SW
36081,36081009800,98,QN Southwest,36081SW
36081,36081084000,840,QN Southwest,36081SW
36081,36081083800,838,QN Southwest,36081SW
36081,36081009600,96,QN Southwest,36081SW
36081,36081081800,818,QN Southwest,36081SW
36081,36081009400,94,QN Southwest,36081SW
36081,36081081400,814,QN Southwest,36081SW
36081,36081008800,88,QN Southwest,36081SW
36081,36081008600,86,QN Southwest,36081SW
36081,36081015600,156,QN Southwest,36081SW
36081,36081015400,154,QN Southwest,36081SW
36081,36081064102,641.02,QN Southwest,36081SW
36081,36081015200,152,QN Southwest,36081SW
36081,36081064101,641.01,QN Southwest,36081SW
36081,36081015000,150,QN Southwest,36081SW
36081,36081014800,148,QN Southwest,36081SW
36081,36081014400,144,QN Southwest,36081SW
36081,36081014202,142.02,QN Southwest,36081SW
36081,36081014201,142.01,QN Southwest,36081SW
36081,36081014000,140,QN Southwest,36081SW
36081,36081013800,138,QN Southwest,36081SW
36081,36081013600,136,QN Southwest,36081SW
36081,36081013400,134,QN Southwest,36081SW
36081,36081013200,132,QN Southwest,36081SW
36081,36081013000,130,QN Southwest,36081SW
36081,36081012800,128,QN Southwest,36081SW
36047,36047030100,301,BK East,36047E
36047,36047030300,303,BK East,36047E
36047,36047036100,361,BK East,36047E
36047,36047036300,363,BK East,36047E
