,id,P_Asian,P_Black,P_Hisp,P_Other,P_White
684,9009167201,191,135,171,66,3613
686,9009167202,161,117,187,46,3974
688,9009167300,355,190,278,65,6801
690,9009170100,14,289,1343,42,334
692,9009170200,33,259,1342,59,812
694,9009170300,35,236,1195,51,630
696,9009170400,14,180,433,34,1086
698,9009170500,119,182,584,76,4820
700,9009170600,57,118,433,69,1841
702,9009170700,31,234,839,58,1436
704,9009170800,103,502,1612,133,3391
706,9009170900,16,301,1028,70,591
708,9009171000,30,267,1007,49,516
710,9009171100,219,405,1084,114,3962
712,9009171200,264,362,770,110,6512
714,9009171300,66,251,1221,83,2073
716,9009171400,28,270,1039,43,748
718,9009171500,53,476,2094,79,954
720,9009171600,110,469,1128,109,2992
722,9009171700,58,179,438,60,3111
724,9009175100,51,50,621,34,2488
726,9009175200,69,38,429,28,1751
728,9009175300,177,63,398,94,3595
730,9009175400,261,97,913,82,3078
732,9009175500,212,126,253,82,7232
734,9009175600,167,44,191,63,4544
736,9009175700,43,24,123,29,2277
738,9009175800,215,26,143,40,3590
740,9009175900,153,66,336,55,4433
742,9009176000,178,53,155,74,5891
744,9009180100,105,88,545,84,5989
746,9009180200,199,195,830,72,4249
748,9009180300,85,74,344,45,1998
750,9009180400,164,71,280,51,2124
752,9009180500,270,199,593,56,3574
754,9009180601,61,65,208,28,2789
756,9009180602,70,79,212,30,3431
758,9009184100,147,93,337,90,4416
760,9009184200,349,169,271,76,3200
762,9009184300,114,74,148,56,3887
764,9009184400,28,17,70,35,3177
766,9009184500,51,41,42,32,2346
768,9009184600,29,5,57,19,2742
770,9009184700,302,108,224,87,5187
772,9009186100,99,95,231,88,6796
774,9009186200,126,92,190,56,6634
776,9009190100,57,24,167,38,3054
778,9009190200,72,26,76,51,3137
780,9009190301,176,55,203,73,6284
782,9009190302,150,20,218,54,5006
784,9009190303,80,35,115,45,3159
786,9009194100,41,21,84,45,4963
788,9009194201,219,45,154,129,7290
790,9009194202,145,34,137,63,4899
792,9009341100,70,87,300,77,5515
794,9009343101,184,1073,651,85,3817
796,9009343102,173,46,135,55,3244
798,9009343200,434,119,190,74,5432
800,9009343300,298,65,164,96,6186
802,9009343400,388,71,235,88,5958
804,9009344100,122,43,151,60,4480
806,9009344200,164,24,57,29,2445
808,9009345100,298,343,611,165,5562
810,9009345201,159,295,734,184,5693
812,9009345202,118,212,304,87,3508
814,9009345300,228,246,659,168,5154
816,9009345400,159,331,621,173,5850
818,9009346101,89,54,248,85,6198
820,9009346102,106,80,220,56,5547
822,9009347100,56,123,178,70,5100
824,9009347200,17,52,134,35,3640
827,9009348111,62,32,77,34,2697
829,9009348122,103,53,139,67,3987
830,9009348123,178,25,173,71,5292
831,9009348124,36,15,47,20,2212
832,9009348125,152,31,87,40,4274
834,9009350100,105,939,2636,119,1053
836,9009350200,18,1176,1653,110,398
838,9009350300,0,766,939,90,174
840,9009350400,7,811,1303,107,259
842,9009350500,84,245,1601,184,384
844,9009350800,57,1386,2600,243,1712
846,9009350900,20,512,450,96,909
848,9009351000,64,793,1302,134,1385
850,9009351100,86,1348,1019,146,1329
852,9009351200,39,1096,1813,156,758
854,9009351300,132,858,1724,223,2598
856,9009351400,83,656,2172,279,1162
858,9009351500,75,597,1413,258,2572
860,9009351601,30,305,712,128,2106
862,9009351602,131,404,712,135,4839
864,9009351700,12,563,1181,159,802
866,9009351800,97,464,650,140,2901
868,9009351900,65,320,283,69,1719
870,9009352000,112,423,683,106,3596
872,9009352100,61,612,942,128,2510
874,9009352200,29,664,1326,155,515
876,9009352300,16,669,853,150,1127
878,9009352400,57,720,1163,121,1376
880,9009352500,50,446,604,94,1537
882,9009352600,184,757,1065,171,3218
884,9009352701,57,303,638,123,2265
886,9009352702,127,786,1198,195,3546
888,9009352800,135,1035,1811,233,3331
890,9009361100,84,107,217,98,5997
892,9009361200,49,87,218,86,5084
894,9009361300,72,67,176,59,4279
895,9009361401,878,526,524,229,2776
896,9009361402,771,270,319,209,1798
897,9009361500,382,2216,1447,273,3289
898,9009990000,0,0,0,0,0
900,34003001000,624,29,304,98,5450
902,34003002100,482,44,89,37,1197
904,34003002200,1118,56,398,73,3526
906,34003002300,1551,64,260,70,3766
908,34003003100,1356,293,1289,129,1976
910,34003003200,1448,246,1417,97,1396
912,34003003300,1769,406,1803,189,2449
914,34003003401,427,138,505,34,1662
916,34003003402,813,224,549,84,2016
918,34003003500,965,417,1534,86,1047
920,34003004001,289,240,1203,93,1390
921,34003004002,506,342,1966,137,2021
923,34003005000,499,122,1104,90,4312
925,34003006100,915,136,1608,157,3722
927,34003006201,580,99,1250,144,2420
928,34003006202,987,106,488,86,2803
930,34003006300,737,243,3358,266,3489
932,34003007001,1092,36,242,56,2391
934,34003007002,1557,64,259,48,2628
936,34003008000,2367,57,537,112,5500
938,34003009100,1276,26,216,90,3273
940,34003009200,397,37,148,65,2735
942,34003010100,965,114,944,85,4116
944,34003010200,583,77,702,112,2626
946,34003010300,1051,184,934,87,4899
948,34003011100,608,264,1061,97,2219
950,34003011200,596,310,1054,94,2753
952,34003011300,388,101,883,87,2823
954,34003011400,463,209,1119,112,4162
956,34003012001,710,243,1211,107,3233
957,34003012002,527,93,352,54,2383
959,34003013001,2531,229,495,130,2241
960,34003013002,1545,290,783,167,3102
962,34003014000,629,64,619,103,5986
964,34003015100,171,184,182,49,1859
966,34003015200,376,1951,2171,181,1391
968,34003015300,206,3887,1679,174,178
970,34003015400,891,1632,2638,173,1236
972,34003015500,525,719,790,94,3810
974,34003016000,2027,93,316,106,2739
976,34003017100,418,47,356,78,6150
978,34003017200,733,138,762,69,4319
980,34003017300,514,102,711,82,4647
982,34003017400,424,55,443,70,4374
984,34003017500,1041,122,1024,117,5661
986,34003018100,161,136,4395,218,2374
988,34003018200,451,150,3163,216,2571
991,34003019102,1162,100,364,47,1186
992,34003019103,1696,166,417,89,1294
993,34003019104,1843,97,540,65,1390
996,34003019202,644,66,229,42,502
997,34003019203,781,47,298,56,1680
998,34003019204,1477,57,412,55,1696
1001,34003019303,2637,109,612,87,2071
1002,34003019304,800,22,408,53,1254
1003,34003019305,1873,103,425,77,4176
1004,34003019306,639,38,172,26,1265
1006,34003020100,284,64,226,64,3440
1008,34003020200,493,72,299,71,5577
1010,34003021100,146,178,1542,85,4734
1012,34003021200,86,187,1310,47,3594
1014,34003021300,91,205,1361,89,2853
1016,34003021400,118,297,1353,83,2664
1018,34003021500,102,320,2049,77,2306
1020,34003021600,116,377,2215,81,1821
1022,34003022100,188,87,150,57,3525
1024,34003022200,862,64,377,125,6166
1026,34003023100,365,566,1433,65,562
1028,34003023200,773,1569,1830,169,2427
1030,34003023301,230,491,562,54,1387
1031,34003023302,622,868,820,78,2549
1033,34003023401,960,688,777,107,1117
1035,34003023402,613,1322,2088,158,1381
1037,34003023501,148,1869,1154,85,390
1038,34003023502,291,1008,1590,60,1305
1040,34003023601,223,478,1557,74,863
1041,34003023602,147,834,3375,64,864
1043,34003024100,1276,40,288,74,4072
1045,34003024200,812,31,163,66,3592
1047,34003025100,738,219,1099,103,3915
