,STATE,COUNTY,GEOCODE,SUMLEV,POP100,HU100,P0010001,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,H0010001,H0010002,H0010003,NAME
972,36,111.0,3611128255,60,5610,2672,5610,5610,452,5158,4875,4657,83,3,96,0,36,283,2672,2302,370,Gardiner town
973,36,111.0,3611132116,60,221,301,221,221,14,207,206,192,1,0,13,0,0,1,301,101,200,Hardenburgh town
974,36,111.0,3611137143,60,6178,3079,6178,6178,356,5822,5565,5287,107,37,114,1,19,257,3079,2718,361,Hurley town
975,36,111.0,3611139727,60,24069,11571,24069,24069,4107,19962,18402,14623,2956,34,630,3,156,1560,11571,10407,1164,Kingston city
976,36,111.0,3611139738,60,933,477,933,933,64,869,824,796,10,2,9,0,7,45,477,422,55,Kingston town
977,36,111.0,3611142994,60,11133,4785,11133,11133,1157,9976,9523,8429,681,14,324,11,64,453,4785,4438,347,Lloyd town
978,36,111.0,3611145458,60,5658,3080,5658,5658,310,5348,5093,4871,66,9,112,0,35,255,3080,2503,577,Marbletown town
979,36,111.0,3611145722,60,8712,3794,8712,8712,1022,7690,7392,6764,494,4,99,0,31,298,3794,3426,368,Marlborough town
980,36,111.0,3611150562,60,14407,5358,14407,14407,1835,12572,12030,10246,751,20,775,9,229,542,5358,4906,452,New Paltz town
981,36,111.0,3611154749,60,4226,2564,4226,4226,248,3978,3786,3640,47,6,59,1,33,192,2564,1923,641,Olive town
982,36,111.0,3611158552,60,10424,4412,10424,10424,2055,8369,7879,7167,521,16,87,5,83,490,4412,4032,380,Plattekill town
983,36,111.0,3611163011,60,7272,4062,7272,7272,495,6777,6415,6118,130,10,107,2,48,362,4062,3046,1016,Rochester town
984,36,111.0,3611163737,60,5782,2931,5782,5782,361,5421,5146,4913,111,0,72,4,46,275,2931,2570,361,Rosendale town
985,36,111.0,3611165299,60,19038,9370,19038,19038,1468,17570,16672,15912,386,19,280,2,73,898,9370,8300,1070,Saugerties town
986,36,111.0,3611166597,60,2866,2482,2866,2866,230,2636,2492,2356,36,5,51,1,43,144,2482,1419,1063,Shandaken town
987,36,111.0,3611166674,60,13563,4418,13563,13563,1863,11700,11272,9937,1082,23,165,2,63,428,4418,4053,365,Shawangunk town
988,36,111.0,3611175935,60,12660,5714,12660,12660,1176,11484,10862,9847,592,26,320,2,75,622,5714,5229,485,Ulster town
989,36,111.0,3611178828,60,12771,5943,12771,12771,2925,9846,9207,7301,1569,53,193,2,89,639,5943,4504,1439,Wawarsing town
990,36,111.0,3611183052,60,6287,4250,6287,6287,348,5939,5658,5325,116,16,158,0,43,281,4250,3135,1115,Woodstock town
1036,36,119.0,3611905320,60,17309,6314,17309,17309,2910,14399,13866,12424,726,19,589,0,108,533,6314,5758,556,Bedford town
1037,36,119.0,3611918410,60,42545,16229,42545,42545,8547,33998,32436,27941,2494,45,1679,4,273,1562,16229,15288,941,Cortlandt town
1038,36,119.0,3611921820,60,34641,14410,34641,34641,3117,31524,30302,25852,1036,6,3200,2,206,1222,14410,13595,815,Eastchester town
1039,36,119.0,3611930367,60,95397,37565,95397,95397,16821,78576,74906,52300,10141,83,11602,9,771,3670,37565,35776,1789,Greenburgh town
1040,36,119.0,3611932413,60,28218,9274,28218,28218,4402,23816,22952,18780,745,10,3231,4,182,864,9274,8747,527,Harrison town
1041,36,119.0,3611942136,60,12265,4867,12265,12265,969,11296,10812,10107,191,8,435,0,71,484,4867,4495,372,Lewisboro town
1042,36,119.0,3611944842,60,31758,11969,31758,31758,5671,26087,24838,22090,921,12,1544,5,266,1249,11969,11423,546,Mamaroneck town
1043,36,119.0,3611948895,60,10959,4465,10959,10959,4569,6390,6116,5076,439,20,513,1,67,274,4465,4271,194,Mount Kisco town
1044,36,119.0,3611949011,60,44436,15221,44436,44436,9259,35177,33961,29930,1260,30,2501,2,238,1216,15221,14595,626,Mount Pleasant town
1045,36,119.0,3611949121,60,73893,30350,73893,73893,14003,59890,56750,9077,44655,140,1398,21,1459,3140,30350,28286,2064,Mount Vernon city
1046,36,119.0,3611950078,60,18311,6160,18311,18311,1243,17068,16367,13824,267,3,2144,3,126,701,6160,5918,242,New Castle town
