,stco,geoid,name,2000,2010
280,34025,3402547130,"Monmouth Beach borough, Monmouth County, New Jersey",336,487
281,34025,3402549890,"Neptune township, Monmouth County, New Jersey",1310,1790
282,34025,3402549920,"Neptune City borough, Monmouth County, New Jersey",121,179
283,34025,3402554270,"Ocean township, Monmouth County, New Jersey",502,930
284,34025,3402554570,"Oceanport borough, Monmouth County, New Jersey",71,163
285,34025,3402562430,"Red Bank borough, Monmouth County, New Jersey",249,452
286,34025,3402564410,"Roosevelt borough, Monmouth County, New Jersey",14,13
287,34025,3402565130,"Rumson borough, Monmouth County, New Jersey",158,241
288,34025,3402566240,"Sea Bright borough, Monmouth County, New Jersey",199,419
289,34025,3402566330,"Sea Girt borough, Monmouth County, New Jersey",343,468
290,34025,3402567350,"Shrewsbury borough, Monmouth County, New Jersey",16,49
291,34025,3402567365,"Shrewsbury township, Monmouth County, New Jersey",25,65
292,34025,3402570110,"Spring Lake borough, Monmouth County, New Jersey",467,795
293,34025,3402570140,"Spring Lake Heights borough, Monmouth County, New Jersey",439,656
294,34025,3402573020,"Tinton Falls borough, Monmouth County, New Jersey",328,411
295,34025,3402574540,"Union Beach borough, Monmouth County, New Jersey",86,126
296,34025,3402574900,"Upper Freehold township, Monmouth County, New Jersey",64,95
297,34025,3402576460,"Wall township, Monmouth County, New Jersey",520,832
298,34025,3402579310,"West Long Branch borough, Monmouth County, New Jersey",87,144
299,34027,3402706610,"Boonton town, Morris County, New Jersey",80,163
300,34027,3402706640,"Boonton township, Morris County, New Jersey",34,72
301,34027,3402709040,"Butler borough, Morris County, New Jersey",55,138
302,34027,3402712100,"Chatham borough, Morris County, New Jersey",73,137
303,34027,3402712130,"Chatham township, Morris County, New Jersey",99,213
304,34027,3402712580,"Chester borough, Morris County, New Jersey",18,32
305,34027,3402712610,"Chester township, Morris County, New Jersey",54,105
306,34027,3402717650,"Denville township, Morris County, New Jersey",188,302
307,34027,3402718070,"Dover town, Morris County, New Jersey",132,221
308,34027,3402719210,"East Hanover township, Morris County, New Jersey",52,83
309,34027,3402723910,"Florham Park borough, Morris County, New Jersey",103,198
310,34027,3402729550,"Hanover township, Morris County, New Jersey",73,218
311,34027,3402729700,"Harding township, Morris County, New Jersey",63,136
312,34027,3402734980,"Jefferson township, Morris County, New Jersey",396,767
313,34027,3402737110,"Kinnelon borough, Morris County, New Jersey",61,128
