,stco,geoid,name,POP100,HU100,P0010001,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,H0010001,H0010002,H0010003
112,34003,3400346110,"Midland Park borough, Bergen County, New Jersey",7014,2887,7014,7014,734,6280,6100,5749,70,6,241,0,34,180,2887,2750,137
113,34003,3400347610,"Montvale borough, Bergen County, New Jersey",8436,3115,8436,8436,683,7753,7532,6069,121,0,1324,1,17,221,3115,3016,99
114,34003,3400347700,"Moonachie borough, Bergen County, New Jersey",3133,1149,3133,3133,1292,1841,1789,1391,20,0,351,0,27,52,1149,1120,29
115,34003,3400351660,"New Milford borough, Bergen County, New Jersey",16923,6432,16923,16923,3304,13619,13191,8830,796,6,3420,0,139,428,6432,6276,156
116,34003,3400352320,"North Arlington borough, Bergen County, New Jersey",16457,6749,16457,16457,5109,11348,10850,9245,257,7,1173,2,166,498,6749,6525,224
117,34003,3400353430,"Northvale borough, Bergen County, New Jersey",4761,1700,4761,4761,569,4192,4060,2714,55,0,1278,0,13,132,1700,1641,59
118,34003,3400353610,"Norwood borough, Bergen County, New Jersey",5641,2032,5641,5641,418,5223,5091,3196,74,4,1809,0,8,132,2032,1943,89
119,34003,3400353850,"Oakland borough, Bergen County, New Jersey",12748,4561,12748,12748,1210,11538,11137,10370,119,12,605,1,30,401,4561,4356,205
120,34003,3400354870,"Old Tappan borough, Bergen County, New Jersey",5888,2083,5888,5888,380,5508,5350,3673,59,3,1600,0,15,158,2083,1982,101
121,34003,3400354990,"Oradell borough, Bergen County, New Jersey",8244,2850,8244,8244,734,7510,7285,5889,73,7,1277,0,39,225,2850,2782,68
122,34003,3400355770,"Palisades Park borough, Bergen County, New Jersey",20292,7668,20292,20292,4862,15430,15174,2903,262,10,11900,6,93,256,7668,7314,354
123,34003,3400355950,"Paramus borough, Bergen County, New Jersey",26698,8786,26698,26698,2810,23888,23119,15556,459,3,6966,0,135,769,8786,8448,338
124,34003,3400356130,"Park Ridge borough, Bergen County, New Jersey",8883,3435,8883,8883,936,7947,7729,6972,91,2,631,0,33,218,3435,3310,125
125,34003,3400361680,"Ramsey borough, Bergen County, New Jersey",14798,5670,14798,14798,1374,13424,13041,11711,127,4,1134,1,64,383,5670,5488,182
126,34003,3400362910,"Ridgefield borough, Bergen County, New Jersey",11501,4237,11501,11501,3343,8158,7921,4281,200,10,3319,4,107,237,4237,4050,187
127,34003,3400362940,"Ridgefield Park village, Bergen County, New Jersey",13224,5269,13224,13224,6189,7035,6688,4477,649,8,1460,1,93,347,5269,4986,283
128,34003,3400363000,"Ridgewood village, Bergen County, New Jersey",25979,8814,25979,25979,2069,23910,22813,17786,353,7,4556,0,111,1097,8814,8490,324
