,STATE,COUNTY,GEOCODE,SUMLEV,POP100,HU100,P0010001,H0010001,NAME
942,36,105.0,3610527573,60,1161,1197,1161,1197,Fremont town
943,36,105.0,3610534473,60,2196,1722,2196,1722,Highland town
944,36,105.0,3610542235,60,10159,5450,10159,5450,Liberty town
945,36,105.0,3610543786,60,2243,1547,2243,1547,Lumberland town
946,36,105.0,3610544809,60,12655,6157,12655,6157,Mamakating town
947,36,105.0,3610549847,60,3366,2020,3366,2020,Neversink town
948,36,105.0,3610563176,60,3290,2432,3290,2432,Rockland town
949,36,105.0,3610573627,60,16550,10023,16550,10023,Thompson town
950,36,105.0,3610575759,60,1405,1140,1405,1140,Tusten town
970,36,111.0,3611120247,60,493,501,493,501,Denning town
971,36,111.0,3611124691,60,9548,4089,9548,4089,Esopus town
972,36,111.0,3611128255,60,5610,2672,5610,2672,Gardiner town
973,36,111.0,3611132116,60,221,301,221,301,Hardenburgh town
974,36,111.0,3611137143,60,6178,3079,6178,3079,Hurley town
975,36,111.0,3611139727,60,24069,11571,24069,11571,Kingston city
976,36,111.0,3611139738,60,933,477,933,477,Kingston town
977,36,111.0,3611142994,60,11133,4785,11133,4785,Lloyd town
978,36,111.0,3611145458,60,5658,3080,5658,3080,Marbletown town
979,36,111.0,3611145722,60,8712,3794,8712,3794,Marlborough town
980,36,111.0,3611150562,60,14407,5358,14407,5358,New Paltz town
981,36,111.0,3611154749,60,4226,2564,4226,2564,Olive town
982,36,111.0,3611158552,60,10424,4412,10424,4412,Plattekill town
983,36,111.0,3611163011,60,7272,4062,7272,4062,Rochester town
984,36,111.0,3611163737,60,5782,2931,5782,2931,Rosendale town
985,36,111.0,3611165299,60,19038,9370,19038,9370,Saugerties town
986,36,111.0,3611166597,60,2866,2482,2866,2482,Shandaken town
987,36,111.0,3611166674,60,13563,4418,13563,4418,Shawangunk town
988,36,111.0,3611175935,60,12660,5714,12660,5714,Ulster town
989,36,111.0,3611178828,60,12771,5943,12771,5943,Wawarsing town
990,36,111.0,3611183052,60,6287,4250,6287,4250,Woodstock town
1036,36,119.0,3611905320,60,17309,6314,17309,6314,Bedford town
1037,36,119.0,3611918410,60,42545,16229,42545,16229,Cortlandt town
1038,36,119.0,3611921820,60,34641,14410,34641,14410,Eastchester town
1039,36,119.0,3611930367,60,95397,37565,95397,37565,Greenburgh town
1040,36,119.0,3611932413,60,28218,9274,28218,9274,Harrison town
1041,36,119.0,3611942136,60,12265,4867,12265,4867,Lewisboro town
1042,36,119.0,3611944842,60,31758,11969,31758,11969,Mamaroneck town
